ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,0d8d00ad090bbd76e313dfe02aa10696e88649b7,215.6145876442482,150.52678023746827,24,0,4,13,19,21,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cd84f9da041aed278635652a2335b1f634beda63,215.56571685697833,149.8365294206424,26,0,4,11,16,21,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,988a70821f8fab77bde069a01aafee158123473b,213.73626617213728,149.30162741467905,48,3,9,15,34,42,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,95fdda265424e8dd2b37075b175cfa1d4ff2a8f2,215.2890732916636,151.72785968378898,21,0,4,12,16,21,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d43b76fc770db6f05157b35d8a8ed8e39896e83a,215.15999272442107,151.97992594181423,46,4,11,21,34,38,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,11fef8c84d972e6607adfbb09d1518a1d12acf05,227.3896361901535,157.34300951387786,34,4,5,21,23,23,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,bb0f75091cc46330cb137cc6d9831b20d48113e1,227.47750983735415,157.27200893228184,30,4,8,18,19,25,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b86b70f913d3dad2ebd7339f43434e5b29d11dab,186.34905853341846,143.09652476768406,28,0,4,6,20,20,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cdb1f418bb1da823e1c659f7de707b5b44c6804b,222.49244439220135,166.92285995690014,60,1,9,22,33,43,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a9da80331ded36a0c60c874d0dad08d4d2206332,219.12320329799647,141.74966430074005,70,1,11,29,45,54,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d0a5649593fcaf46ae84521aa3f9b8ca95889775,186.2473051838489,142.8144536868626,22,0,3,6,20,22,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ed113f3ed73b02d47dbdf7bf0c8076f161254796,219.12219178356582,173.91770614428364,64,4,10,26,34,40,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,970406de4fa61619047b7773fbca5277b0c83c1c,220.95858597390708,169.8118539183597,63,4,9,25,34,38,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,8869913fe18a608808cbca39382b9515ef8fab25,160.95320006278388,142.41452489167446,59,8,13,17,28,52,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,da13027796600853509c27ab397f82d8e7698cf1,232.8535643164752,147.91667415067303,103,0,0,0,0,7,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2b2375c62bae20903b6a7c2634cebfffeae757a2,234.05045826665307,148.9614655014861,106,0,0,0,0,7,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,5b0e411f9a5ef6b64d16ed11c1d4d1dc4136374c,218.2840012369784,131.99180372184654,57,0,5,18,26,35,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2455f8aa4468fbbfa90fc635a3b4545d5850e207,220.48648893135757,152.23681417468867,40,0,0,0,7,25,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,350655594afb26532a07ff9a524c4bf7304032cb,213.1146807652306,150.68477122532363,147,0,1,4,15,31,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,816fd476a0333d23f08797f4a2465a79f0fb7eea,212.96138779093846,150.2281238243331,144,0,0,4,19,32,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,233b573c232a7509a9e78778986931d1dadae3c9,121.45321956350699,120.65134191111677,59,0,0,30,42,44,5d27075f03f801723c2e360f,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2eb189ee378991bc30c5b7fcd596ddfc504110e3,213.32216915226482,131.78836440655542,128,0,0,3,15,29,5d27075f03f801723c2e360f,B1
