ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
b66744d67f43c4f1e3f2550178696f81a52db394,e3f06c56a441e62cc0e3419cf48275b1f1d9fb65,68.262227589331,79.02801035910626,29,25,29,29,29,29,5d27096c03f801723c31e5e0,B1
268c9bfa334de49729bf861dbbe9fd17a6a263ab,55700f75713a67a6d67b828ef31da1d71116e693,58.59931124588164,80.64069588612682,32,2,12,26,32,32,5d27096c03f801723c31e5e0,B1
1c6a96b0c533766681d28e38eb9e5e7a69e7e0a3,fc065ddf61a79201e4bf17ccb6a9d97e8f2734e5,84.2510580300343,73.17045164569052,35,1,13,35,35,35,5d27096c03f801723c31e5e0,B1
53ed3957d044c1dd4f4616a1088a51918bd12e1a,8cc9c9336491f11ed091183b242ee163d1e5224e,87.18174601763074,72.08208257909024,24,0,2,19,24,24,5d27096c03f801723c31e5e0,B1
21a39838a411d038f52fb255a430a772330e2fb5,267cccfb434233d4e41631976d912780d7c585ba,83.51457079610816,71.31317129920137,27,5,19,27,27,27,5d27096c03f801723c31e5e0,B1
21a39838a411d038f52fb255a430a772330e2fb5,a97368197880a2ef63b9159183bfe44a6dad94ef,84.74674351783865,72.04168547384081,32,0,0,4,6,13,5d27096c03f801723c31e5e0,B1
798f1961e71312a96ac91e3e2ccdfe477df1b64f,7803ee99b3aa4eb1803b7ebc64fdc6a34adf5320,69.21930918895248,69.88038529271815,30,3,13,30,30,30,5d27096c03f801723c31e5e0,B1
71395838279e03c27520887eac4eaf683a45ff96,6f458e05e76719763e77fc8c242efd6d5d3e004c,84.56286993348533,72.82449783345277,22,0,0,16,22,22,5d27096c03f801723c31e5e0,B1
71395838279e03c27520887eac4eaf683a45ff96,c57c17b662a217b215058c2c7c28c2d5a65f86c5,85.51118316366103,72.92916381608033,32,0,0,0,4,6,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,2a1c1979871c82448014065b22c8720f3fdecc00,58.64488742329856,80.59093112833708,32,20,25,32,32,32,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,57a3f5fbb8250c6b4032d3f452a90d6fab8c0eb4,68.08064934716143,69.64864744870742,32,0,0,11,22,32,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,3cfcd003d58f34748aba11a68df0882138ac4c16,70.05798204649274,90.15113157967146,32,22,32,32,32,32,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,e888628f74674bc248081dac6940288d15ca656f,85.03623790428173,72.2851425950088,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,1baafb472127bf45719a34af1d4bf7641ec5a7b4,67.67791183082328,71.0883393509212,28,0,0,0,0,4,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,4bb52852c21740342f5108c7c30023a75228cb37,74.33068244807666,87.52224112943169,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,913b4509822b5ad061d70db40bfb6b8d8394123d,66.29287897999414,74.76303380887889,20,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,c059fd18ae473ec5aea52251be459258537917e2,77.91309092804906,71.12980720094949,19,3,7,17,19,19,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,669e177f2d02245eb6bce97df65cbe5d25ffda81,83.60775923279007,71.55628219262783,6,0,0,0,6,6,5d27096c03f801723c31e5e0,B1
620dc22bb6101c119f2b5393c2e5b9cda5ba3374,961c935da29de739e66d7a593842cb46a9db1542,72.06305237081703,88.91563855265827,8,0,0,8,8,8,5d27096c03f801723c31e5e0,B1
47dbeddc6612fb496189c5bff801fb1bf842a776,d657f9112caf76e9c028737e691520e0de475169,66.08280396246909,77.36865529497729,32,17,25,32,32,32,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,8ba6c161b3972f8597b274cd556599b4c8100807,70.67747361045834,85.46037644645097,25,0,7,21,25,25,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,0e822f7d9dae1095eda48fdd4fd95230a1667708,70.8688226991431,90.95708737886119,23,6,7,16,23,23,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,d9a330ec6729fc5a255c3b466542fc755653439a,72.67069946292673,79.42644464875328,20,0,0,10,13,20,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,150d1ca9e94f08dcd53a8d45eae2ffd0042a4df9,72.07544788504237,88.8583332678887,13,0,0,8,13,13,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,4c99614fce43e9ab6999ccc1cd8b5878446d6005,82.49569523255259,72.21002924994427,10,0,0,5,10,10,5d27096c03f801723c31e5e0,B1
351eb5c4ab46a0d949105937dbb5c21f283d6415,30e079a2a851c6e702a58834285829afe1c36b4d,68.41972224724267,85.84305174290294,14,0,0,14,14,14,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ff09f12e55de34bc5a5a2a7e8ac6db57662e3cba,79.62821457363394,71.40796369128887,23,0,12,20,20,20,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4ed0ae77816123caed8ea7069fbdff42c6618415,82.6898647870774,72.6830374226431,21,0,7,21,21,21,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,42cf90548aa4ed7980b7122db4e693dfe52a6ab8,81.58253687002417,71.76892854157738,15,0,0,15,15,15,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a16af3cf09eb67f857fdc6b1ba7a0b1d2b47e536,70.73022422217194,83.3274311347059,18,0,0,10,18,18,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,9021fddf8679d6da77d38fbd88244662dd3125c3,69.88840864473475,76.29025567682211,7,0,0,0,0,7,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,1c3fd4769728579d2859b052cbfea7fd0e4cf8c5,69.2301992285026,87.34743985865653,9,0,0,0,0,9,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,10a6d1fc3cc891a807fe9f17fd6bdfdd170e65fc,84.01574048975368,71.72661241461898,32,0,0,2,5,13,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,0e13bc459dbf30b37c67b4a87dde9d4b3f98cd51,87.07347664094426,72.71258820579722,35,0,0,4,5,13,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,3a62bc0ab27a7be2d2905925f6f14c1b3a8b57f2,65.73780591238327,73.57518270426795,35,0,0,0,9,27,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,5a2b1a9a7f82904666fd93a08cd7c42aa05390bc,71.8810469624351,72.32551773977724,31,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,31f6dd700838ba411e98054517d04a3b13423aee,85.66060235326711,73.23723337069026,32,0,0,0,4,6,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cf44331afb9bb569395473901fe54b735b3dddcf,85.62886425104287,73.10555475070021,35,0,0,0,4,6,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,386c6538720c28210154dd47631af49ac3769131,67.18247952692644,77.82443782287085,25,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,1b1f45248612b754ccdb7cdafeeb5c7001449488,74.00199313807171,69.66514405267395,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a18f76c29a556fa2fd476a1edd15c0a77a781183,78.60975827814212,72.68446082282384,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,578e7cf4864db62bcce8badb46d8cb5de839f868,73.72223425734005,70.1161401482042,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,025b76b4c3b5e99c35917bd3c3e451da9531732e,73.89323880687276,70.84898451574065,32,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4158d8c4cd42e5ddf79869be071a72377103bd80,70.94070433858288,66.61637134102416,14,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,30f9f28dd06f689c251eea0cd199fce79d1f1bf8,74.17836256965109,67.22496634538007,14,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,aa8bec07cd002830ca1839226394fe53a8717394,67.49293745757849,82.75641280636515,27,0,0,0,0,0,5d27096c03f801723c31e5e0,B1
