ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
f935cb931490309dec5c85ddc56a4b66ed439d77,fe959c5c24e888fad9c15438d4deb77eb7b0c103,169.81355699068698,61.09174299783502,30,20,22,23,24,27,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,9f63737595b725a70a4d7fbc70d9f884c19f1875,171.29895964536692,66.24170110022474,30,14,16,21,23,25,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,d8b08477123e8548ae373ef80e93f501d19b1a83,169.49596856512827,65.31118453919028,30,0,2,21,23,24,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,fe35c2bfffdb3b3b705b5dc2afef63096f87463d,169.2881390080561,59.02995314563187,30,0,14,20,23,24,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,7fbf4168e873fe904f77daef6eaf3a580b7cfdd0,170.71352311352956,63.82496913621495,28,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,93ec5626700a6233506bc0aefbeccc4568fb4e21,161.12925792298162,59.39329927907129,28,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,6c81b45db9ace58bfe33db00651777094b9baafb,167.68473186240868,57.53513455978766,27,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,8a8172d1037ce46ade66b1f0d51fbe2e45da88d7,169.63648025125272,64.8704103676525,9,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,5cba9c1294adcc14554f5005ab753a16a499c341,169.63648025125272,64.8704103676525,9,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,10216e485a736e8a7a8d90925c2d0e09d2f7f2c9,169.63648025125272,64.8704103676525,9,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,474f81905b1b14790ceaf96e4c27fbaf6b57f927,169.5688429322891,64.53414560437888,21,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,aeca8d45ee188d1f2b37456ef159752b6969ec70,169.63648025125272,64.8704103676525,9,0,0,0,0,0,5d27097f03f801723c320d97,B1
f935cb931490309dec5c85ddc56a4b66ed439d77,32482cd2cd80ec00cffa164a6b34ff7cecd2df50,168.5034478639722,59.47595173167006,27,0,0,0,0,0,5d27097f03f801723c320d97,B1
