ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
a89f9311c4c1576bb69c95fa044d7c42e1bab150,02773e2b37b141f2bfdc0bd5622d521c50fd4490,42.54087612963794,29.23526687795007,57,3,3,3,9,14,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,5b712408bbeafd8e5f89510d69b4b839c2835dc8,42.540911594423335,29.235574779257234,72,3,4,5,21,26,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,e7a01996f0d02f0f0d159943755a9ad19b6b721c,42.53800725126345,29.23778633158648,46,3,3,4,16,30,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,d433beec1b81fae863a9f14baa789c65f8ad44ad,43.48044286974652,29.01879384839044,34,0,0,3,7,8,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0cffa311e1bbf96b4b710695571fbde0e427810b,45.020579984950366,49.5455220578345,72,0,9,11,17,22,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c39f19b6bb8878b0ce386889a364e3d224cdcd06,51.24247627130315,28.240127057184118,8,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,623de3631e9e108a5d4226d31841015530a0ef04,33.28973462864021,40.89760719125238,33,0,0,8,10,19,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,2cb537f02bc38da8ce76deea9aa3b21eccb9ad7d,34.129325966463334,41.02660448897458,29,0,0,0,0,12,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,cc7ad1af0cc6d47a45952174e9676b703f1e9194,51.33756665600777,28.222031291287824,4,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,508ab9e1cd379eeb70ad167ef21264b897723bde,42.68594747629451,34.339269749743345,50,0,2,7,13,22,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b62ebadcdb6d6939762448a2f161d8039082cdc6,40.6526609010594,46.95777892922374,9,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b3d5b0acfd6390da7fb84ad507965394e6b8a3a3,51.33756665600777,28.222031291287824,4,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,19f121efee86c5899b54fa59c558112058a22f68,33.235866379098375,40.826432152914755,46,0,0,8,13,16,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,6fe7d8f684c61bebffccc8e9eb9ff3ada3b7a025,43.11234382415273,36.382111040974365,34,0,0,0,3,21,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,a8db4e915a7fd306cc8c9105d29f3b2dc0f4d4cf,44.30487989369789,51.995597936740275,65,0,0,2,7,35,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,1c0f03d19377bbd84a2d150d6adb22b87902c80c,51.33750995795049,28.22203545053839,12,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,10a482193fd682b8568c557a459161e96f4833c7,48.24095011022018,79.79553069671063,93,3,9,22,36,56,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,87b9922441386a176e7d6a9f4871b4842433ab91,42.96219814966646,36.33351193568848,51,0,0,0,7,19,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0c8fbd609a0fc212d76468bb8aeb2b547aff6f01,43.600768553902086,53.25091515223481,57,0,1,5,10,25,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,302df2d709f42059695aed95ae7e9fe2983cd6f2,42.67989404541342,96.96595714391269,114,5,17,39,45,63,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,3a768a8d9c7452f3b88e0d1e1c159bec1dc397cc,49.57756329439015,56.8430288753849,113,0,4,23,45,56,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,36f2bc063f87367863cb094d5d9632714bdbc583,50.15045020116108,42.96250285736187,74,0,0,1,11,22,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0ef7d947a9797c463d4293dc56736b9f1ddc7402,41.61577620705037,50.371184225875105,84,0,0,2,6,26,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0bbec27a167d4bd7415ddb585d6243ea3299a35f,51.33737665611664,28.22196276705644,8,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,80ed6bbb1b565129af6d8b7cf94f83645808036a,51.33756665600777,28.222031291287824,4,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,10e4b20907ac23c3049e45f3e4e72224146d82b7,54.370223733062794,65.5952087145021,53,0,0,0,5,37,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,001c2478123063cbed1fe339c8ab584e93698c5c,48.943873392269325,86.07370621062945,84,0,0,1,4,14,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,bfb6cc5783463cbe24b0eebbf08e6cbd7e3f87ef,49.622925040652575,47.22411892052518,39,0,0,0,0,6,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b2c5883844dfe9c4a6b8e33de89ceb556be5cd9f,53.1064481074864,54.672272980316386,42,0,0,0,3,25,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b718ad987db3f13e576ac1f59e7890f03af32608,42.850980550490874,96.64897434014006,106,0,4,7,27,64,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,54d8d1aacf03628180f1b57a073f51493c0ad4f3,55.36221290255864,75.55223442963435,96,0,1,2,23,46,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,ba4c6ff8229bdaf8029c6f0c3809a1539d468d68,136.9745013812226,88.85074346028183,119,0,2,8,27,38,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,a7a2aa6a979ac5b3c3f07d162cf4b21302efe041,63.61826827981935,86.64518077490406,120,1,3,23,33,39,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,3248ffd3bd57b84117d0d48f7e76437818ebfdb4,38.95948344677911,45.08844451348513,83,0,0,0,0,11,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,5016d056d5a8b1a04a24a361c55f42430c4fb32f,60.39775043568072,61.45129375845086,105,0,0,2,19,39,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,721beb2d5f9ffe4f72ed45c70331b93c53bec688,45.45485650336664,50.06191840697453,70,0,0,0,1,13,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,fbdebe181bea25d50d8b8dd17b4a672f085fda85,65.3697561873389,78.05653463786031,53,0,0,0,0,15,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,4b229fc3c4d4229eacc0171cb4ae9bc9fdb54b01,48.34923588817753,52.9763320113697,64,0,0,0,0,4,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c431974503592e54a3a9eacfe2aa3560deffe621,47.25455996374716,50.97800016507768,63,0,0,0,2,15,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,999401050a9c9ff7bc020bd39492fa1f68b65dee,52.8884998677913,57.94474668724873,87,0,0,11,14,34,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,3f83d9e89fef9bcea926ea5c6ca4be8298ae694c,54.393201594177995,70.41074518091247,58,0,0,0,2,26,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,f03fb8b0633244caaf5080b78ce25341e479b31a,56.79674098221263,75.32556055404967,52,0,0,0,0,6,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,1d7846a9f39b7e23619906a0710054c2e2b2a080,122.4573098721791,96.51735325985669,87,0,0,2,5,28,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,1ada1b729d03000e17da7ff31d62eb8548fbd1ab,57.587238992098236,72.22403509413743,55,0,0,0,6,20,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,e9dbd3198fc910c00982608421e181af4227c7c0,56.5638884416003,68.31142078764528,33,0,0,0,0,9,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c4491a805aa0fc6b2342d197e80d6ecc1ef792e1,58.155400008574645,61.42670527187988,124,0,0,8,20,39,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,e06cdf4291b0939330bde0dfd246309848e4d18a,55.313966692987556,75.36985832763207,80,0,0,0,0,1,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,fff32135460c87bad932bfcbf0c0112427453899,52.489446360338896,58.26725544488261,40,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,45f1b8d57a3b1d62f8b047548d067894a1a25d10,63.126993207127626,84.88619567921778,61,0,0,0,2,32,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,97fe015ae9b318315e20df2a7a2755cd770bca4f,33.24929642939934,40.85633939822997,50,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,bb47e68bb18424f018076dfb435ba05cde3aa297,57.41986978495353,72.77199924709561,83,0,0,0,3,15,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b1cb1a444768c01375bdc42e9ecec4d0b23e2b05,80.73218432781778,85.55339729453358,127,0,0,6,24,39,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,3c8f13ceb421de536d9e2442fc157aa6c037b809,50.748353884566605,70.39628841790136,89,0,0,1,15,34,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,75b203d9b73b4df5867443a5a33c6f2c9262d80c,55.26432245408199,75.46143734901182,76,0,0,0,0,1,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,d743db05e1bbd4c1ee9812cb4e70395bf706f8e4,135.784079182427,88.65163446471364,127,0,0,3,23,40,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,f69e1d1490f07061e8ffe464b50abbf09596bbfc,52.14556249712474,63.56923655796179,94,0,0,1,3,20,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,1989ba8a1ca9953ae259d72bc15e932acd413f3a,67.0028437566988,75.2311085040674,91,0,0,0,11,30,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b13e81ce2f081fab777412907df2a073713ea4d8,61.01413024075023,66.12787147899671,72,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,69706bbb3ea28d2513d113e0c896b93284824c18,98.22299690088542,85.58128671209309,125,2,5,9,13,22,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,30a4fe741a1a0b10210e0ae1330bcece992b1d44,62.904819338488856,67.22672183516332,87,0,0,0,0,5,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,37dcc115747bf89ea3421e26fa069a58a7467759,55.39933377438168,74.82841371327478,62,0,0,0,3,24,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,dec4d40c0bcd262222c51834b070a01994aad766,64.56491865319654,85.47694673687026,74,0,0,1,12,30,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,3e322039d3bf05a551066e6fc4536e72a83e0a74,59.66263256730429,69.71642428061351,89,0,0,0,12,35,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0bbe4d4d0db44f70b4c683fe6035c838b084b7fa,45.43266601331226,66.76526358951499,51,0,0,0,0,2,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,7b31ba9012ca19dab6aaa3da07896b6ad09ce2b2,59.31111306207486,78.6594977223311,90,0,0,0,13,27,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c0ea304b1eec652f726c8ae08e71974416b9018f,63.209226494614185,66.64556156312662,85,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,13010d832ada931861aebbcaad829b8778bf6480,35.26594417594502,42.48585513644729,28,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,39238dc1387482b0a286db4c65ecdf516b3710b2,54.75833133252318,72.54459929857143,15,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,36f37832fa68a9fbce1b1e4dab7a8b089c86563d,114.71071813258267,95.14792083573207,84,0,0,0,4,6,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,aa0f8c2598022b4d4b62d1d9ce5035fc525354c0,52.35212066310429,68.69697569505468,83,0,0,0,1,16,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,8f190b4b430989c71658a6b12b8ea75a9818f4f9,49.930242389343164,75.54873754119394,76,0,0,11,19,51,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,bb3977271515caa19af274f5b9b02a0667602420,58.719693972913404,52.426976010467286,16,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,68a3198e8278592527ca1647d4169c423e689acd,108.90118008576367,92.80364228696513,151,1,6,10,17,38,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,8e35c0ef164f6ee17d3a96573a203d28833f2ffc,126.58183339663408,96.98986243257546,66,0,1,2,12,39,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,fa5cce59700079bdf36e018b4773cf840c374081,34.022264505865785,40.86354941884085,23,0,0,0,0,8,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,a0b41c49e3cb4f98bc3f8fe2d4ab6b51c2261baa,52.997177532151106,83.67349638744776,79,9,9,13,14,15,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b1d7f0a4c5a2135076ce68de2dcd6cc0d9ace86f,53.04343136390093,76.01462871720479,70,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0a51f01dd34f5f39ae9e7666709bbfbdedaba530,92.4051900974887,88.56949549090712,92,0,0,0,0,4,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,b5aaa4d3b1165266f0250ab66da0bd4e53453090,60.48725184219572,85.27772782094767,48,0,0,0,0,6,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,ef9d6b8ec1d64e0edfa2793bac39bc931f624efd,63.28206399882966,86.04995814591715,73,0,0,0,0,4,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,a28719da008c80e9231d6bd9b9ac32763538ea20,33.274800593737304,40.830139783012385,32,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,0b61897534207a023d53c444b4c81442c6e601e5,69.53357775252269,74.04756713292,79,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c64999e7ed578a5ea20c3f3ac2ed64251f36b8d3,113.31754002808617,95.01462553838934,45,0,0,0,5,22,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,bdbf2753f1b79746cefc30cb01462e349a612d41,43.0397026816031,36.247599394228125,4,0,0,0,0,0,5d2709b303f801723c327472,1F
a89f9311c4c1576bb69c95fa044d7c42e1bab150,c3f4a355d410b7d236159e2d1a6a34f96253b4be,62.772600501068034,61.94674792464135,54,0,0,0,0,0,5d2709b303f801723c327472,1F
