ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
4abd3985ba804364272767c04cdc211615f77c56,cdae6dd33ef339dd57b8d03dcc3c103bfe1d8b14,48.243349650757004,197.95092067527793,48,18,18,18,18,29,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,c50fd127ed7de29bcc8eac71ae18ebb7709fbd3b,54.2412031937343,209.72671917379526,33,0,11,18,18,20,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,89c58b4addcadde73c474d7ff39b72c0c471cd85,49.4294003740484,202.8309558935938,45,0,0,18,28,32,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,ec363e05f7793679cd1fe1b79e2b6a9a6ac40f8a,45.37566649566805,199.49548828651993,83,0,11,21,21,27,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,e841cea49218793aad9445c6e71c85af2c274a9d,89.30120043119726,206.41751224639773,33,0,0,3,16,28,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,e49cf352f1fbdf4de08505b66b4483d4dd03ce5e,46.93622808900556,198.73596968479885,18,0,0,0,1,18,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,79e4bf51095a5ab2f321d220ff4ca42803cd9b47,47.148358785037175,197.6214075839941,31,0,0,0,0,18,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,98f36b87c96402d0c25e02a8262149c0be72928c,45.72809233348235,198.1717557729595,33,0,0,0,0,11,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,8b2d8b729347a069c5c4fb48afb4624293f2413d,47.334296238860155,195.58581022975005,18,0,0,0,0,4,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,6bbcb3e01fe8c15a52fe4b99b910ff835a4f50e5,48.799741240640664,203.28154510301437,44,0,0,0,0,1,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,f8b7e66039073c21f8dff0ab7334d07b49434da2,52.2555486157302,206.1820331004299,34,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,b7ec76877c1f15dc98555227ca3d768c89930692,47.09778216532142,195.50541534578912,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,cd8f9d5a6a3837c93cb04e435c5641cc6f54cd86,101.22708517135462,214.65847135720767,81,0,3,13,17,23,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,9d82d1009f0e290832c1f00edfc2be233339b7e3,46.90157464238477,196.97371574305274,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,cadb6b75b296c3e27529475e1c9fa2f72f9a8c51,45.794236930965425,198.02625126269993,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,897e09cc5f0206d2a85c666af5b8dd6ca4457cdc,47.58029405163761,196.23759586332974,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,19a9be1809fee302742c380dcc486c9114ec31d7,47.336041695604685,198.50178852504365,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,31d6ddd683074cefa14c5722e4bef509724b3b25,51.50415053482814,205.14837119288765,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,6f343e138811a5e33a17877e8c1e4fbfcd60bcfa,46.5572952913309,197.33197975397525,11,0,0,0,0,11,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,dca0e3ff70905f11a79994bf15b2800dba93dbf4,87.11804124013906,212.21676745971848,32,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,e5abf99057dcf3123beb654d840c38c5eb43ddaf,45.91741752969478,197.76762542919442,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,2b354039ba5417fd618fff65d44a9e80a38b8c9d,45.30226831668326,199.59643014444785,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,6ed9dc7891c0577ed54b6049d5af2d7b080529f8,45.71405940868159,198.69697976226726,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,fc1ba99318cf39811bcdb1fa347f9f7b9f0b1190,101.30010728193749,214.73332268091775,80,4,7,16,23,23,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,c2f40c9f15414177a4bf2a0df66e6753f1ad69fe,46.959709843705554,195.94573393661292,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,6b78a0698320cf9563b2d88cb75927c6abbfd017,46.578336398408005,198.88637658682987,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,a9a37e41a033c5cec6cf7bf12ecc9d877c27dc5f,45.25988112407627,200.61799618791844,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,7d96c9501ab9244466042bf7fa482e9cca9c1de3,46.64351043414454,196.20615436698438,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,913c686767d1ed1d7df035aaeea0222e89004848,47.396574240962664,198.08577033402307,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,7042cbcd1fc0f0f681cd9f896e57551f9a84da83,48.09168114656183,201.9310128807601,27,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,674f01fbd9d7bfdfe098e9ed928b0f89df6ea807,46.84058625783239,201.5622649061707,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,5534bf614d4a559c18d17848ad6065eda6513dcf,45.162796514845354,200.70778124226422,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,e6aced8a996d98b3fecddf75646b18f2b438dff8,131.38808510493644,236.42549883356233,84,0,0,1,11,21,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,dc67f4737d699c8ab62424ba8a265ba563b69626,46.62061254464334,197.57615262636395,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,072e0464cfd48e0358f63c67fe5b48410e11999a,128.36236512187148,221.71033144034732,77,9,9,10,17,31,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,b68adaf654a6df22796198e6a944d276f6257a8c,45.74631974651382,198.45163807045358,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,ab94c9e8c8b5ed6b3ca87d390d214b2810ac22ba,75.04217122580583,214.1581456709465,42,0,0,10,13,13,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,33725a9a94a2adda88f3b1b0d757135d266536bd,105.61216618120474,229.68324758431416,81,0,0,13,25,25,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,762b3832803f813559ac17847f4f706cd31671e9,46.55729529133637,197.33197975399327,11,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,37f3afe212c2a494f687ce47338352abdc98a6d9,83.20516569293775,206.05330735653763,31,0,0,1,3,19,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,b8e02333e8ed0d0dc91eb835114415275aefb7c8,47.4356788485625,197.318144438611,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,795c9b192fb5964ae0440d5a5c6d5cb6615221bf,46.98200400261292,197.24275269920787,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,ab468fc1ba9f9811df62bbc7ec6e6f6c25e4a7ca,46.218190608043244,198.617331136213,15,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,33b5ec249eb193d1978282cd3484940c27065016,48.01414751633766,199.71794908288783,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,d28f886b9187dede71d60cb1abdee6e0e098dfef,47.81795032307088,197.59965957143942,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,20d9ad8fe3a77f8b3b778f69c799cd5edff3904c,46.20876451053052,198.61290736818944,14,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,d6f47cdf65c8a18a465b8f4e5e5b30c68df43d4a,46.8227829643549,197.44114813733773,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,09155f367036e6715fc544b4f15886e221fa63b8,46.998084099816666,197.26365967021607,13,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,faa26fe846ac0f8791080775c4d43abc31a8889e,144.56960313333016,238.67587595614174,7,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,2979914151b178e261246992385f01e60f182ee6,46.5572952913309,197.33197975397525,11,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,d7b5c14a24419b24a3c302ea4a859f60e1b7d356,47.21026508101398,195.46327942736892,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,a5c82397a7c3e1b6690769c8acbf14ee74a58a89,144.56960313333016,238.67587595614174,7,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,c17fcb710769b321ee4dbf58a32158e8b8e6dc63,46.5572952913309,197.33197975397525,11,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,92101f50402a92dfc623bc1de05194e9f8797dda,46.14614293431922,197.25818336709094,18,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,71f8dbc6ea840827cf7244a6d839d9174c3447ee,46.5572952913309,197.33197975397525,11,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,05a1f76d6f417efa0c6d674cad88e3c2dbaa2a1c,53.95180445553721,209.77501800930182,7,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,89031cc15b45f7a0f2ddc691b72b7a1ce5719625,46.20343747807554,198.61104585291116,8,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,54ad5226390df856986dcb3b75aa30385640f49d,165.3458218425834,244.28716474354243,46,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,c50199d9408a8e4897b1f066f3afc6811ba81714,158.32221746565372,246.44056653563146,67,2,10,15,21,36,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,a4e83da46aa62478a527245a4d40be7cc41871f6,164.2828248516787,238.74289058079557,55,0,0,11,22,31,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,83d32e8e71f8be140ea84cccb488e8cabe10f14b,213.2914640868852,269.6908026751524,49,0,0,4,6,10,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,f72ed0517a6aaf3dfd0f64c4e7e1519bd823b7f4,189.0006613585305,248.1134504409036,45,3,10,14,20,28,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,ad2b959b3335c30f83eeaf3270c7b29f3717eb15,46.20343747807964,198.61104585292125,8,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,fce904371282785be3f31e78c527e7b6203bb692,46.5572952913309,197.33197975397525,11,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,2baede3d20fe974646f93c672ebbfac948800b20,145.53768785589017,226.91897310576877,16,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,058c29e68ef40b50f3e6a0d26f43391d3b4ac315,129.00101436748122,235.93255939008446,47,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,3afbf4fde626175ad25cb566931ee7b7d1454243,133.64604665105517,238.20394949113765,40,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,5bc24158fff7ca051eed8c0aed6408fa6b9d0271,134.79082040287486,238.47232498539333,59,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,2baca0d08343ed01f8d7ae97438b00678327f0d5,215.94562670955867,260.0746494466755,32,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,3bdcad01934cd09e8cffe34e8a2468ed0fd1f43a,143.78065060249068,237.4954055860783,32,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,2631e8d11d7837685498c9e5e92c3eaf656cf461,132.5424078370544,235.55281995303662,48,0,0,0,3,5,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,575aee593cec75c5bcf809861e03064182c4c680,132.71187598335493,236.3619461764055,51,0,0,0,0,1,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,c3702c0f548503eabab03093bf944a1641597eab,145.57040026418963,227.75819842658416,10,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,55f3eb451b6bb485fe7283e6e24e8ab978f75f68,97.81317506362198,215.81973572477443,7,7,7,7,7,7,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,7d4ca2a55a9375271c5a4acdf762986a5a6f0656,144.56960313333016,238.67587595614174,7,0,0,0,0,0,5d2709bb03f801723c32852c,B1
4abd3985ba804364272767c04cdc211615f77c56,a02f4615742c700b40222d78c416e5c61544513f,155.21275461029254,240.71533025015322,41,0,0,0,0,0,5d2709bb03f801723c32852c,B1
