ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
c77327a29dbdf621611672833a6156ee13805839,8b14bb174d667da8b0076c7e870861288d979657,38.852844492010156,17.330691417437297,44,0,0,0,7,11,5d2709d403f801723c32bd39,1F
ac7970e2663fde0c34fa827f386b55d54f2e8dc0,8190d475a4ea54b55be988c4e53d85cbd2a5a846,37.50999808363552,15.977932873389863,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
f6c02d1418080e66d9a534918cda25dbf43edb85,509cea3aec7d0e052a28d1d99580c1fbf9e66ec3,49.79884046140101,48.86656021657305,20,0,0,0,20,20,5d2709d403f801723c32bd39,1F
f6c02d1418080e66d9a534918cda25dbf43edb85,65c5d81425dcab213a1d5ab7b0f2563950145122,37.50999808891757,15.97793287657997,20,0,0,0,7,7,5d2709d403f801723c32bd39,1F
f6c02d1418080e66d9a534918cda25dbf43edb85,d38335dbf890c49c1567119d05f72418c4c1d54f,40.605282181620325,15.483891646444732,29,0,0,7,7,7,5d2709d403f801723c32bd39,1F
f6c02d1418080e66d9a534918cda25dbf43edb85,e8899d796c5e88e5fd140897d8340302201f004e,37.69677431810901,16.022279792563968,41,0,0,0,0,10,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,77133dd726c357a6d54555f3fbed6a60a9c2613b,61.543674269260066,34.5335792121295,20,0,0,0,16,17,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,ccd80d9d289413fbbecf786dbcf3a17a376fe6d0,40.533359895226,15.493302962314925,9,0,0,7,7,7,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,b2cebf843280cd57a0f50e0d60728436b691a15e,37.50999809866804,15.97793287956259,31,0,0,0,7,7,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,ba6ccceceba33faaf43dc3e60692f006eadf8e08,106.06722602814379,8.997235644167358,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,60dc2e10ff3888d92bd22a60c637ab495f485c86,37.55053711324965,15.994951579877078,41,0,0,0,0,7,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,85c961ae612bd8a76e646c423764c88914aaa577,66.79020405812497,3.4396865738277406e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,07da694d50fb2f1b001c773d80c4d6ac0228548f,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,b1f4814d1a8c7885960118015e2c8f47fcdd0f4f,19.966399581224287,89.53698676503612,12,0,0,0,0,0,5d2709d403f801723c32bd39,1F
ccbdd51b6036f94d765273d900b0555e84cf32ec,530df8f996789680c965064e2d24a4c8143f5ab5,19.966399581224287,89.53698676503612,12,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2c1b54575baaaa19ca28c306a6100d32c9d67652,4352f44216097e91b4c9829f9ce44b2bf69b8ae0,37.50999808368983,15.977932873820036,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
5830952c5a3a9ebba01c5232a496c56ec7a254c0,b8d19b0008ddca9f8220b40210671b1ee16e7eac,37.50999808363552,15.977932873389863,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
f15f5c1187088314f4cc67ca51e30af77f7c3e07,28c8a8051f5418af2cbbab7bd0f974b74048a7a7,36.031527777737054,15.479321231575703,6,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,ff141398480b0fd43ee047889d6a1a0a2465bc43,69.97976193739864,1.512908140388753e-12,29,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,586bede2f1f38121e26ebac0e4070afd9a397ef3,37.56873670944074,15.926947265222381,24,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,be674c82197e56d67cbaeb3c7ed6351643848048,66.79020405812497,3.4396865738277406e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,5aa86a1826cba6dc392cfcc731ae9d65d85e379d,106.06722602814379,8.997235644167358,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,58ba2d441565e9b0e47a4372128b3959271bbc0f,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
aebf61d5780b32783807a9e0c3f06249a656ca96,5664c6a909a95de55766ac437f66b2bea634528c,22.12918040628306,97.61349243844825,17,0,0,0,17,17,5d2709d403f801723c32bd39,1F
a96ad7029095500866642754f5665e4cdc481762,8ef252da46fc9ff42f2861381d13db7ec9b77d1a,70.52015320541102,4.2429274842335507e-10,29,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a96ad7029095500866642754f5665e4cdc481762,a77abfe5d6800b545e9aebcfc732db2b47fdc3ea,37.91166575202196,15.620178090818527,24,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a96ad7029095500866642754f5665e4cdc481762,8278f2b4fc6029bc3b50be572cf1bd746712b854,106.06722602814379,8.997235644167358,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a96ad7029095500866642754f5665e4cdc481762,7e8df8a77cae39cec130e7bf22bb6e64633bb2f6,22.12918040628306,97.61349243844825,17,0,0,0,0,17,5d2709d403f801723c32bd39,1F
468510c54022dea94fb72b8615fe34272759b718,5ec1ae4b4be27df46b6b992af8aa5c4072ac3ac7,65.83155372280231,39.2629088961257,68,0,0,5,13,13,5d2709d403f801723c32bd39,1F
b20f680f8074512a595de97115e0e35e8e045163,699e6de6b4d8549f031ca0c64f5a1575a4c4f1e8,37.50999808363552,15.977932873389863,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,f23ac2cd233998446c1206a986b04deafaabe0fd,67.7862270626992,5.131254114499957e-10,20,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,c433b26e82102c4beb1bce3cdfb76e8cfeafa383,37.50999808363552,15.977932873389863,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,ccce99fd5f6930ab21ec843032c2463b3deff851,60.39172768080713,40.6088922976911,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,aedf0ba531718ee4a9c497552e56e051e98301c2,37.50999808363552,15.977932873389863,7,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,862b9a170e076383c104f2a4618dab23b8783dc9,87.73884881208248,14.939066396610265,38,0,0,0,0,19,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,5cf00b9b868f32a1362dd1a8b9cff3f5bd001aa7,87.5878227558428,14.058942336430347,54,0,0,0,7,10,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,f0629d34f8a03e5592a906160303c0c7337c2a08,120.03174066582895,16.29635835217976,113,7,8,15,39,44,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,80424c3193ec07d8b0ba3e3349012145dbcb61ed,56.97908871197191,40.79999747571884,40,0,0,0,0,4,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,aabd10e125a7b0af60e24c784f7a0733ed051074,101.12818316417685,94.68764691360884,90,16,20,30,39,45,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,b53afffceab86801aeb7417d6a88cb2d96403605,92.40091212143786,38.7786156925728,19,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,e8e2bd61a526d30920d3f87504376388a60757fc,85.25096403930594,29.21362749192648,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,532b3691e30f1223ffe25fd502f9ded203f25fff,109.62437488200287,9.035043514867242,8,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,8f39a9c91616201397327a47079edcddb13032b1,93.96958506485689,38.56979148480152,71,0,0,0,0,6,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,613e754b791470e7720b0cbc2c7929d2e896544d,93.92780726083843,38.50724594046775,71,0,0,4,8,35,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,b98a6963a46a7c59b3ecbc7945db5c165caa5da2,45.270640655917525,61.67168162811816,149,9,11,38,70,93,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,88b9c97d32dfee2ec217b8ad4087034dedbbafab,102.72728257911879,70.3073355766759,36,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,7464deae1d0df5c503ff989dcd58b5ef2c0308d7,87.32500360100731,57.92823148799475,139,0,10,22,59,92,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,2628f740267783e128ec9ff5621181c84a873b30,67.13761486426003,37.812089664049886,13,0,0,0,0,10,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,64cbde64b9a2058a88e7c9da19271445c13eae57,42.342084037491325,82.71568296069105,104,2,31,70,88,93,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,9fa9ab299741d73f9fc1bc04e428e16ff471e586,62.9760834347065,43.24584928167779,32,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,5d05ee5a0ffb5fbaabfcf0441ed3b4b9945f1fed,67.86661688897539,41.94992107196501,23,0,10,10,13,13,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,ef34c319cfc2a1a9c00061b48f14dc605ceaa7bb,74.96673239346012,104.9289782286875,33,0,0,17,33,33,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,dc1106caf405f66899c509330e957dd84cd50683,59.56629367387556,98.26960073239029,64,5,15,19,25,35,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,81e381c17c50c7b558dceabf86d8c25c68b05827,32.376954840618694,71.89303980455566,22,0,0,0,13,13,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,c335c4e836ca9a101d71c2378930d98cf6a5f81e,58.0537290095168,97.3349670236618,68,5,16,20,30,35,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,da612b3e1a8bb62228396f42e671a409b2d19b1d,22.12918040628306,97.61349243844825,17,0,0,0,17,17,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,32a64d2b3819c2483d6f37d8238862b0472db4af,82.70220675733832,108.75762199230263,6,0,0,0,0,0,5d2709d403f801723c32bd39,1F
2241a80de9ceb4636760335eed9f913a0717f251,b7394114a427789490af7916dcb568889c062285,54.602099940425276,139.53041404557757,28,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,02ac9eba5ebfa2a124c2221f2595f0dc9eed5cb6,70.7887709425738,4.455171339639841e-09,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,32d84df5c4558d16f113ec39545affdec33ca5a7,66.79020405812497,3.4396865738277406e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,2be8a88e2d39052b60c4f2e6d3adbf7511d27791,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,9a708fdfe4232038a101d1cafd435e82bdf1d2dc,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,ab4874935ec942bfe6adc6a544baf479b1ea0d27,19.966399581224287,89.53698676503612,12,0,0,0,0,0,5d2709d403f801723c32bd39,1F
a34c3097918324cf0947c9c3b9d480b1e8854eb9,932979f4be09ec69c3101c5fe20a133d52e09f2c,19.966399581224287,89.53698676503612,12,0,0,0,0,0,5d2709d403f801723c32bd39,1F
547b1290330b9e5e031f93a8da1c06b35f65375a,bcb15706085a6fb6363b3bd70fb2a3f1886506f4,19.966399581224287,89.53698676503612,12,0,0,0,0,0,5d2709d403f801723c32bd39,1F
79b6153d5478683b2a6f2aa4e299378f5b46f8b8,3c2fa708c956a0aead2548d70308296644b5a611,22.12918040628306,97.61349243844825,17,0,0,0,0,17,5d2709d403f801723c32bd39,1F
cad5fcae9c6963e25b214fc2a455eec6bd3ebc31,717060e07656968e4db877e8fbbe5864ab1b59af,66.81950435584083,8.488213935391773e-07,25,0,0,0,0,0,5d2709d403f801723c32bd39,1F
cad5fcae9c6963e25b214fc2a455eec6bd3ebc31,9c3c0f94a098a84d43c548e2b1c789759d48de6a,74.29181842621347,140.2851384666153,35,0,0,0,1,25,5d2709d403f801723c32bd39,1F
cad5fcae9c6963e25b214fc2a455eec6bd3ebc31,64ca1dd0e4ff96649af0e0d180bf31c0390808d4,68.11856162180109,140.48520695226364,35,0,0,0,0,0,5d2709d403f801723c32bd39,1F
ea1eb18d115ce41f20d5127b93354d38dec0ad86,1542bb639a2e83edd3c360f1052f3cbc13fd5891,36.031527777737054,15.479321231575703,6,0,0,0,0,0,5d2709d403f801723c32bd39,1F
1b264380de73e895c2a2ec2e65bbc779fa90c969,815d78e4587cb9330bda029540bd0fde882a8944,71.4553814974134,2.5233748082570596e-09,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
1b264380de73e895c2a2ec2e65bbc779fa90c969,c363f8aacc17e7d0f8d093659bf7fcc5b0daccd2,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
1b264380de73e895c2a2ec2e65bbc779fa90c969,a5dce5eb41b5827575a4a90384e15648e3b38bec,66.79020405816613,3.4310498959549687e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
eda01e2cdf451d71efafce0cc7cf7238a71b0fec,f69568fcf6d144a51c8457b80871f6c6371afbc2,77.91040743918374,1.8586092101666967e-08,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
eda01e2cdf451d71efafce0cc7cf7238a71b0fec,98fc3b1c85d10f54be80c7c7d7778b08d420019a,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
eda01e2cdf451d71efafce0cc7cf7238a71b0fec,23b1f930337adf9490dbb9db85d14a9284a7d53e,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
eda01e2cdf451d71efafce0cc7cf7238a71b0fec,3236a2d9e13b133c9d3215badeb2e3abcc0fbe08,66.79020405812497,3.4396865738277406e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
930b4825199fff7f1a15c9174083de7130981b1d,901379bc16eba5ee93250610f270f8e2a6d15aa5,37.902504762943686,16.354266618521574,31,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,0a7ece5ab6228339ecfa08976f1a625d51a5fa01,40.399337725355565,17.56905851514186,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,6871bd970b60d75329eedf5ad2ccf26b18688433,45.54380407753986,49.270836064052446,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,9f0b26c671304c2a666a386ea14135ab1fe6f18b,44.67633074880017,58.51893864896815,20,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,5dd4638a659658fc1bb75b180895565ab000611f,37.51071928866031,15.978300691656672,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,debdec79822024e5c2e054e6df69bda5d77ad221,37.76186192372114,16.081371193166312,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,cd9ff02b262f369c1b029c1772f3efa8ea5947cb,37.51532817876677,15.980651650543209,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,2af736ba09fca2f287a674c4a02769041665e96c,37.510263395089,15.978068181437447,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,774e0daad60dbf53b2895fb6c7d2a825c70f4647,37.5104815169506,15.978179425047555,17,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,0bbc7cf878f4b05250a1935dfa27dd1b681e4508,67.26323329208978,38.398979402172934,35,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,52e079f76e37670b2bea9f67573971b9653589e3,73.61165554890529,37.26978185876883,128,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,b8b8162eafa8647a8dcb41d469b71f53351fe5df,58.76297453925581,39.87716149699264,15,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,d16b31c1767b555af125b7207e48f07f822da2c0,66.15107783216246,17.552663684853332,15,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,8cfada0ae60ebb0723fc0da602365f8eaacdfca9,72.95172027006262,52.25314017192018,39,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,a94fb02b6d92e668568a84520a8870c79d951daa,73.74728064562875,37.427878091370296,105,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,9e4287d96fa9931009672d17afc98916910c8e84,58.49399561823837,40.77315898006114,4,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,7f5bd9b8618257f2b7e9b60e29a699533118f5b3,69.70312053587212,38.29450019598313,94,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,7ad0af87692bd959a651d3757b97a946234543bb,65.97317300330296,38.46986796904621,10,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,c01fd36d9a5b1d006f2315a991813f53d562312b,99.43017375647186,6.813087208406714,53,0,0,0,0,2,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,11f3a5ab5b4d2e8bd324265da04885b6ee9a6d62,121.8266110315525,18.933080152523072,25,0,0,0,0,11,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,8fc4bce58418ebcfb60f86fcb58499ed04809dd1,66.79020405816613,3.4310498959549687e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,5b25d0099d142650c7deff990e37fc665c57ea8d,120.13574115820795,17.257588557741805,38,0,0,8,8,10,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,a3be5b4f97d403aa11815ada43f68a1ce4778367,119.59810335983568,68.50141085644577,20,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,80b0cdb015600e6396d4210fa1e179eac287a475,123.55007623151434,20.587904603143645,18,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,4b67f3dfd4352890a6cbaf0c626ae13ea55a287f,118.11327805277655,15.522948110361654,62,0,0,9,18,20,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,6942fe9adfdc0128d6a1ab0962ad04eac7819135,118.11334634860617,15.523009056818017,56,0,0,9,18,21,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e6eaa35adfa44c78bd1297ae0edd3670e08eafeb,121.87976403961977,20.318633200130012,27,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,7de964543ff06ae22e7734df11dc72a8e0fe4bdd,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e93a4f0832201a423a3247c59aa7d06a71848a1a,87.84731528994908,14.301652470671078,20,0,0,0,9,10,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,90273c5cd03f5ded9c6abe5d9b8f861293c0d68e,87.8492717691637,14.294629177365628,31,0,0,9,11,11,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,1048965cdbefe2ffeba6455ab0673c6d046fd445,72.75854869328622,1.1200979185775082e-10,18,0,0,0,0,11,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,a6ec59068914e486999d358265f7ef0c7a335fe6,121.82662100463149,18.933093340952635,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,fabcaf0ba8d57ad2ec68ab4133a623acd439ad24,58.49399561823837,40.77315898006114,4,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,6a92c8aa6a502439cdd40e879de16fd0712cb37b,121.8266210048642,18.933093340197452,11,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,b4e332474335c76412c3cf501b842b133f47180c,114.58579706982161,54.13857895733495,97,9,27,33,46,60,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,9465cde1bdbc2f10b8170a173b544b2a4a783bfd,113.71431535157893,47.24794815086493,10,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,0dc9b26fee1538fc83964b01be84407ef50ad1a7,101.21492393119695,63.561159026482166,72,15,20,32,53,62,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,c9a6b7d99eb401c89248bb5cd03661add7019e5f,55.27031580238675,135.27299856842853,25,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,1ec70ec566231af51b1ba61160a1eb1dc4c6d483,100.4762395804061,86.10439364998008,112,4,14,19,38,52,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,9edfb95f9ac2d68caa3b54b1fb6c0bb72f4d8ae2,119.6476246543354,68.61658453835851,6,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,036bd3f5aecb8252717e88099a7d425c710a9b3b,72.92418109905638,140.48520695405637,32,0,0,0,22,22,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,c2402e9316d927b7745d8a0b933e2e6cb98e0c21,102.41880161080633,82.56799359670786,104,0,0,8,28,52,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,1de207b542dd3ac86577eb35e0f65923b9c81251,74.94404598246426,140.48520695464316,25,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,a18a2142f41396b7ecf9ac595781c8b24b4e9654,78.38218045664271,140.0924647447222,35,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,ce57f0bd5aedc90ac97bf08a2e89b6cffa74508d,113.71427043212215,47.24815050504703,32,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,3f8321ce0dd6348fa440eb25acae2be996c3b2e7,66.79020405812497,3.4396865738277406e-07,14,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,295e43a7a6e19102ccda432418ebe5f195c5cbaa,55.26811042054158,135.2712041093121,9,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,712a004621c89a72deac61b1763435b033d66486,55.26811042054158,135.2712041093121,9,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,0cb9f9aec4a621ee1f13c809f0dd1ce840011bdd,103.66736196216091,71.54868862198701,19,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,1af199d4db5068f5ba90220d9a6600ff00931801,67.11117106828739,1.7385178373507765e-08,22,0,0,0,0,0,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,526f029d23c2bb07fa68bc51001a5d1c2b3e6339,76.02414011584774,106.00114919362375,51,0,0,8,14,43,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,7f92c838def910dc333d6ec1785cc9de7c428514,64.86887201933276,73.49888250391248,183,0,0,0,0,8,5d2709d403f801723c32bd39,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e17e25c0b01b27962a1016440b20f8d8b80b933d,73.92339584271109,106.31601929208547,146,0,0,6,6,10,5d2709d403f801723c32bd39,1F
