ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
2ed842f8d7c9096a4c2751864123a84f765a0746,053606c73169f288cc514d5fcaae50e55ee15da4,51.47972163798732,35.0527572175512,44,2,10,15,31,44,5d2709e003f801723c32d896,B1
4c21e1ceb33d725e9dacde47c856586afe42181a,e7cb745695a8a9aca9294cc0e3b24b601618a6fb,50.24035762055034,35.96272537782119,45,0,4,7,10,15,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,9ebac5d43631ee3b1ca26d3da1dabf821a12cb40,48.055301574849274,38.43147146533489,24,0,1,6,13,17,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,eb528f74424a2ea37cf1f67b22235b3d3daf93eb,49.11248160583832,35.78121586700927,29,0,2,10,12,13,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,511693346246ee0e1615ca831a6ab2cc5ba5ea4c,55.235678569339164,30.44990402244463,29,0,0,9,12,12,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,0f1527cbe294311a5245918338ff677f83603b7d,54.8055327031952,34.48733942259444,22,0,0,0,14,16,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,e708ebe7e4508f10fbf701532065ef3ae525c1f4,46.88242754273612,33.996783296386866,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,6832102df3212e03f98fbb2a0f43a5a7bc4a03d9,40.25895134434704,37.010328667713324,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,3e9c28d4afe3a12c10e5b845d6fa7f8aa2b8036c,67.72279497817259,41.31618760106889,6,0,0,0,0,0,5d2709e003f801723c32d896,B1
0e5e59e80f0537d916b2555a95f094669dbea98b,d94b62ce163e65bd47d6582af74419a75e959c8e,46.882427542792186,33.996783296525585,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,0e331bb35ed24cc1956857dd42e16352bf61f3a7,48.065462176968396,38.76801229219393,17,0,1,4,13,13,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,c63d379de48a3274b893d033458a13ba615b7ebd,50.74499803109955,32.67516340233131,28,0,0,4,7,13,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,1883069f06e1cbe149c5c52b21e501cd831389cd,49.397907179123514,36.50806574532872,11,0,0,0,0,0,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,4d9212669d2008e9d5c91c672a0dff9d650d0a5c,55.00154603143205,29.43480154264832,29,0,1,3,12,12,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,c1eae71b1d16beb9b8e3a14adbaf29ba5334199a,56.47670636380391,33.53014338082448,22,0,0,0,3,16,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,72f022ef1514b494c5efabda0d4448ee3be599fc,40.25895134434704,37.010328667713324,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,953711326dd8237a4d349a9694a9122b6153fff5,48.11685296323459,38.96448555289683,12,0,0,0,0,1,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,3afc4f1184bf862dd5f9edbc37b058138fcdb2d6,48.5808497393543,36.06041990782866,11,0,0,0,0,0,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,25dbc4e276ac618ea044ac5664dca6adba8eefac,40.25895134434704,37.010328667713324,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
86962742a60d463d94ccea3eacc746341aeabb84,8e4594d4dcfbfe5aee95832a436ae9aad0a7457a,48.95865684861083,33.44077564942795,6,0,0,0,0,6,5d2709e003f801723c32d896,B1
e2f51c7b0c16e48dfdade85a41a9d078326f167d,e54c84a80e36d27661ad608d3ae049b2bf96dccb,46.882427542792186,33.996783296525585,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
4291d00492758079d3444ae382de1200de6b231b,e9a47c4420fd66f11bd96ec9f23ce0871226b217,40.25895134434704,37.010328667713324,7,0,0,0,0,0,5d2709e003f801723c32d896,B1
4291d00492758079d3444ae382de1200de6b231b,bc14e2ee98e254fe1622f1ed87b6731036d1e5bb,40.25895134434704,37.010328667713324,7,0,0,0,7,7,5d2709e003f801723c32d896,B1
4291d00492758079d3444ae382de1200de6b231b,5cb39754979cad6450c223c2e685b942401d9c0b,70.16518382492497,41.46550830578507,12,0,0,0,0,5,5d2709e003f801723c32d896,B1
