ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
224e8f923ac170b2e9c9700884402ad7cfed666c,d2ace4cd1b3f6c7c36e8d9e623da62f5c61f6ccf,100.24851786770319,119.06850407152258,86,0,0,26,42,49,5da1382d4db8ce0c98bbe92e,B1
70f225894e9316389a06585c694cf5f3808a7159,30dafe5ac4fdac4c65a2c6df1e80ee554dacc5d2,101.99737144015107,130.9423228020921,93,0,1,3,29,53,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,7ec104b1f5e72872d520ce96ce4449e9cf5e2d50,99.3930772040024,112.09521718073354,200,4,12,19,35,64,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,2132d8c97ca1fd71a9012aa86d47c08c6244b1a4,98.81046229137264,108.8760961615812,118,0,13,21,38,83,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,1adc9944f18233083df5f9a5d5d4b049b6923d05,96.20956506871346,135.80451171617548,158,8,28,56,77,81,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,fcb423781851a29203e04a398118e95a959b8a26,106.60496017468303,151.3902234824674,96,22,44,71,86,91,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,b747bf44b87c3ab0e863a3cc2e2d52dc12f8a25a,94.55217491932947,140.70725511364057,84,10,17,50,72,82,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,c89faa90aa07268786274a5248c1e6ae44fa73c7,99.04557444084443,140.4454035906335,140,11,37,54,76,83,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,619230b5043041478d2f2de9292807020f2d1a3e,115.51000798478107,103.92126553359809,178,0,0,0,12,19,5da1382d4db8ce0c98bbe92e,B1
0b72e3ecd8f9071d311fd78bc78b4696fbbd35e5,b3433fcb3f529249449d2121366b245c36dcb084,109.98801678524285,104.72217944396591,123,0,0,0,1,4,5da1382d4db8ce0c98bbe92e,B1
