ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,56241607131996f9cbb3d57fef803ed29a4043e8,20.4822955648649,72.19353258714784,100,20,21,23,43,47,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cc53f70e1e0cd1f84ad74675276a74fb4febe8f5,20.494961766578534,72.09696751366309,87,23,24,26,42,50,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,8cd7c12a2a8f666aaf55fb479278ef6b0b18b22d,20.501154182011366,72.06062335510425,142,14,18,30,39,63,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,866bc23436ec74f467de90342bee0cb9c57f7030,20.5011565139107,72.06065442076384,139,14,18,24,37,62,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cc4af6626b7432f98163ae1f4d861ef7b4c35077,22.364609325023338,67.26924306315513,48,0,0,2,12,31,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,135a5862efa0d43a59861b6c099a29403c079e6c,21.065162695418856,71.78575378537374,26,0,0,0,5,13,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d847818b2f5184cb3beedb7f90b71fab58042e6d,22.961689046743995,66.42908346742023,48,0,0,2,11,19,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,14e7512a25f29c65358d606510e046d50b471a95,24.705074341077935,59.12809368597067,151,7,13,17,35,55,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2faf9113ddbb60f86d487d7525bcbbdbde776364,24.738837821838384,59.03734976153393,146,7,13,19,34,51,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b68ccf46ad503cd3c9ade90a79c1b06957c573b6,21.14414970767571,70.20810908071509,33,0,0,0,5,9,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,275a08882f2cea51b682044c5df1833cd1df9c83,45.79259377372407,68.61934424835931,105,19,25,39,65,91,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,50b2e128d3901b430f2106a8e1976303d8ed2867,45.63160741010187,71.09314649976231,119,13,17,32,62,89,5da138314db8ce0c98bbf3a0,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,9a3fe4367e1ab3f58eb42ca8b630da530af42681,27.125373975138984,36.30232228152887,121,11,12,13,21,39,5da138314db8ce0c98bbf3a0,B1
