ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
61bb65531115bd583c84ba851e7b57deb66022aa,44af605ea7edd8124b1a4b955e6026671dc560b5,11.109810523675424,155.20334635314015,56,25,25,28,28,37,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,fc9488ba26da4f2df5d0caa6e0adef10ff326103,10.035976201275414,84.56945929524085,81,7,12,31,32,53,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,c42eeee0c4a179bed7f60c0408dfff4240a42e6e,33.068579398433364,146.61464293423555,42,17,22,35,35,35,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,a2969c82c007dcf59ce1170f8ea269df690a5346,18.89640697535479,97.00259258618759,70,0,0,9,35,45,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,d11d5287d5fd78c246340cf81e698cae208eb5fc,78.91042688754192,127.49083171674873,65,0,0,8,29,38,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,ed1bb5359cef702ba81bd864196ceb27a5ee4283,105.58330065912106,115.88679043397003,30,0,15,27,27,27,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,daa4493cb1d45e8da1dbda348310fa20ee7992e8,91.82736384814713,106.30291706621792,73,0,0,4,29,29,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,7db49e4b8e7df82a669626596dafd4f4848614e7,114.4983467045726,100.63564386036411,111,0,0,3,13,36,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,0f5c9dff2627c30027973515f232980b8859f715,27.920298026834715,139.39063450262833,14,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,fb044e9ae4751b81f57c3777101f52d373a6ffa1,113.2041077089303,105.53247991851056,92,0,1,6,6,28,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,7aac79cfc443361b4348466e78c6014475f791ba,110.85217751335999,101.2017840155617,10,5,10,10,10,10,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,658ab8dd376bc9aeacf30cfc51bace4b269f0226,113.39764767681562,103.48414014962754,66,3,3,6,15,42,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,b26966b3c45d31fdb542eeaba68721d708768911,96.89810019503669,109.4786793181949,59,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,eb3dd6db0a5db9c595f899083d759ed84fa743a1,111.55668728471888,95.85014065148148,17,0,0,3,3,11,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,bbad271f59b0019705508f24636e3405840158d6,72.70062385349362,127.56615399760204,12,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,e29bebaa7719eb107100eedf2d79c3d1304ec7e9,116.33192257425335,98.41429297644115,34,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,c2c115a1bb9a088318e95f679d851b0a5219f0dd,109.09823099511189,108.98999179295701,3,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,95df62e5f469ff5824784050f2e5b5bbba228907,96.75447624121236,81.17018754624902,46,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
61bb65531115bd583c84ba851e7b57deb66022aa,5fa89600ddb9b31618b41d053d6de3dccdb72d43,100.32179675064177,74.12007685266191,50,0,0,0,0,4,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,a1ac303e0d2d875d48e4730c791ef59a22700ea8,29.096758681018876,178.4391121622796,57,11,23,35,37,44,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,315e556af25d4d7db683cd07960fd264a191e7f4,17.06720023591661,150.3304721799147,38,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,edaccb405a09ad7907b9df90e9054d5e2247943b,20.59766546819354,169.21802216001618,52,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,7d9e4575b157f6a598c14d5ab3a1b438700a5d6d,17.031960698512737,164.22749661621978,14,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,2070a429911a2f477ac34226db4ba78f5668ac14,10.63613211117617,85.564905455671,81,7,12,31,42,53,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,6314782eb432e42d89010e924f2ebb2c1b2241c7,30.344398595500504,141.79582677206858,31,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,883df7201a53b81e3e7507eac4326c8f3535c555,78.83823046742319,128.33823998505736,75,0,0,7,18,42,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,d00ad2f7433714d82cf51b4ac8c0a39aacdc944c,33.3928793456166,149.67734652537538,42,12,22,35,35,35,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,8a04ef8aa06723e62965005663200055773e0072,27.920298026834715,139.39063450262833,14,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,2f573716f6996cef339e34b969f89ddb26c865f7,22.74189862191828,156.0084837571235,11,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,d6460515bb5b802ef614609d8cbfd9a8312d13f3,27.920298026834715,139.39063450262833,14,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,cf0e5bf87ffe437f32fcf569d1f32559fdc42739,34.129630960456765,143.7207007667385,21,0,0,0,0,15,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,9acb196de1aed76dae5d34ed5a7434330c54c66a,18.784037087544064,97.40279803966585,63,0,0,4,23,50,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,ffb9f8b05c4d2f905e4800f2587552f447213ede,26.06464707712084,142.5747123896828,12,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,8942919a060d4561c545bebcee3f2dc4ca5c5500,107.18302943212993,115.32364312875113,41,0,15,27,27,38,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,fd0b46e5dc6747abbde77cd91097d8b2a657318c,91.80867942049682,106.3804158620029,73,0,0,4,29,30,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,7d0f97b97b0d2b51dfb8e6a488ffae6ee3dff610,114.21152144809092,100.752885234226,111,0,0,3,13,36,5da138764db8ce0c98bcaa46,B1
64f1125cb0e5e507a7ba5c32dd76bd506f30ce94,4e3e9f4c36ad87af3216988c0ae0b380c88afac4,34.43514130999688,143.05177523542147,15,0,0,0,0,0,5da138764db8ce0c98bcaa46,B1
