ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,ef6e4735b50f7cd13a1a5e5234b780927ff677ae,150.22972956590732,33.071929337916416,40,7,13,16,25,31,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,15465594b07de5f85faf8a758ddbb35caf60f7a7,142.66867423347048,30.564687352343206,22,0,1,3,8,14,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e02b51975ccdbb9dbe2e5e5c393d3b4b7c78521d,149.83833759174425,32.48702947634805,37,10,25,27,37,37,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e97929039da772499c3f9f2d453d1d6f252575f3,144.71717310542405,30.20762109767481,28,6,12,16,26,28,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,28164105022e9e11488b3e055ae1337e12444ced,147.77666822499611,36.83236393059966,40,0,0,0,0,0,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4975dfc09cb6f2542b7f5d9df9cfc313c4a9b7bb,150.58770128393783,32.14797079486787,23,0,7,17,17,20,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e1b13828985d5a09674aacfc0023d0532c179815,146.47147702918537,45.847377040634015,28,0,0,0,12,13,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4bd069cbd0bfd5ad0e57779e648901ffe6ac9423,145.89106891544074,30.62325551007384,49,0,0,0,0,1,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,f86d9d9fc24cd4a18135ffd643f6b7aa5523dff4,148.61842275050432,30.538448792108817,44,0,0,0,0,4,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cee1e1528fad9e726272b93577c5f53989fb4d84,144.04992533561773,30.47718809049925,57,0,0,0,0,2,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,9e003f2903ecb49b9511a3f5d1d4f57ff4b69c4a,149.34571510850128,40.760990353320835,7,0,0,0,0,7,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a9d077fadccb398e79754da9cc725fb4408b6866,142.9196379286511,30.102276050851316,53,0,0,2,12,14,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,edb1a1ca94307dec9507d9911fe2b14fb25ea95e,146.34843016234743,42.295940609477285,63,0,0,0,0,11,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,71a335dba02dc7e1ef7e79c71772046a41db68bb,151.2941246300442,30.7765936018069,46,0,1,4,6,8,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d2ead97d759714734cb4f02b3c31f1067bfae2ea,143.31434736386802,43.695498004491014,64,0,0,0,0,11,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b7721f9272a194ecac17102a42d0c6ff2aa2ef83,150.02810341368226,36.34285760139439,14,0,0,1,8,14,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,cafd6e9ea396ea85d79c2871363cee24fe4d39e7,134.40005052639387,15.074997757439998,13,0,0,0,0,9,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,1b372e9c536f60857ce934f359d85d520346df35,146.63279483259905,79.45043433694941,49,24,42,45,45,49,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a71e29a868104cc0089c19a517a13acb36e98555,143.09593957750954,30.454478336315425,54,0,0,0,1,3,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,53fb95b4c6598839ff254f94dd43346ff77339ae,151.45604076067286,30.63187994123099,46,1,3,6,6,8,5da958dd46f8266d0737457b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,90a60286be521b9814039fc1f11e0507e168df57,150.4141731824508,36.26055906700663,11,0,0,0,5,11,5da958dd46f8266d0737457b,B1
