ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
5d998a8668536c4f51004c25f474117fe9555f78,0b3a10d83914530023b88cb4dd49057b82a5b7fd,200.219662469946,190.52409837102795,51,0,0,0,4,26,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,975cce0cb2306b454c7c53aee8633bde9b069790,209.0736829831293,185.8929391500522,91,6,20,32,37,55,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,c668cc1eaaf10bf3ac985b1a7643adfb4884cb91,197.7826465075702,192.06133890226616,112,0,4,20,35,38,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,7b7d8da66f4dd0008a4250045c76efca6669e193,197.05003080342286,191.41597951443444,59,0,0,9,17,18,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,cddd1be61beb527a9015d8ff41192f52be7bcf67,192.76563969652256,175.23493001379956,24,0,0,0,0,18,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,cef1a5b19eaa2a4408eb3a5b051e6ded596a1ea3,220.50369749926105,218.60710319118752,66,0,0,17,23,28,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,ef2373a48d40d77e08ed7f19cfb994daf7a80a47,211.18939180931966,233.89371967510542,79,0,6,7,19,36,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,b0d6da477913a5b0ed74ec6b7802393fcba34938,193.39267718318405,177.22329422208153,123,0,0,0,13,35,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,5be1e128551bbdc7efe64d1fac905d540d71e585,219.6637519711869,213.03520768622514,68,0,15,27,42,44,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,a292810b1574346e9f26bd6dc0e49c9fe9e39717,202.09754392010376,156.61564259298873,58,0,0,4,17,30,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,6913972887aaa888db5eecf5d5852701cd3f79dc,210.0735505191549,134.0791919134595,126,0,0,0,6,11,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,ae5a9f51c1b6cbf01fe9acc5ee2269b527bde541,217.8035428319077,229.26370578848278,45,0,0,0,3,25,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,5bc547d1c90b29fe9c86d8a2d80e98a8adad4e1e,196.7839414320334,92.67525698290189,120,0,0,0,4,14,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,bb8a571fff011c101234c3245fd9e2cc70d039da,194.18776970563573,168.51872221035381,54,0,0,0,0,5,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,82c69d01a85dface9a1b7fd7ad7c627f17a112dd,197.63602616605613,93.60409813564617,133,0,1,9,31,42,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,ef3d9d7e7582c68964c6b76444a518ce96aa7473,194.56187213751218,141.09905745889017,135,9,9,13,17,29,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,d695a18f1f1e4f1d2d94356ee5db0e6a39f885f6,215.1003772234289,235.64853970407083,48,15,15,15,18,26,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,989c25a401c664a4dc5384389b8428dbae36cb20,195.08221437327097,139.59402666440235,62,0,0,6,7,19,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,c938e55e93c897912aa482a6bb8c43b111d85210,210.12292759416306,133.56390162706032,119,0,3,9,14,30,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,cc79ace49f222ccc5d5a81f8d452ce130bb6ca4c,221.65246477639846,125.73801267404129,72,4,15,22,38,44,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,8a0fe6a07ee30da4e654e4d45b6d3bf2d678517e,201.67425552766264,106.26079246090256,101,0,2,14,37,47,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,d7d8a9e934c5aa448e2168806d74d07c5b25265c,208.81984412863966,133.7880466664241,48,0,0,0,0,0,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,df07593851f438079f92fbb6617c170f1f300252,194.15136024123902,113.60006291112961,25,0,0,3,14,14,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,f5db1e02412aa2560c73de510caf608127766dba,210.61146491972244,131.3348266140773,53,0,0,0,0,0,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,69fd28cc4f64f354103b5a38e1218bdcaf6bcb32,207.00149520965851,146.4232428280041,62,0,0,0,0,0,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,8a910c4166b81960d4227849c37434a91228f3b5,212.03647417029077,134.15383681838813,23,0,0,0,0,0,5dc8cea7659e181adb076a3f,B1
5d998a8668536c4f51004c25f474117fe9555f78,19562a6ac6cbff03d6d2d1cda7bbd1c65dc0e8c4,209.25347797909893,132.57110659182936,58,0,0,0,0,0,5dc8cea7659e181adb076a3f,B1
