ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,c08ad78a45798cfe176a42b35c7381ae602711c5,220.01114765904356,157.66827507080285,52,14,14,14,16,18,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ffc7c34369257431c7de9129094deb923bb3e3af,208.99553604488818,156.881556221214,25,1,5,13,14,14,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,24d178b2fe580b871c853757e2c4668b16bc3ffc,230.00203958949925,153.5085761331336,11,0,0,0,1,1,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,23bfb8a3a2936f0536b7b8c1ee4a13706b8c18c6,204.57686100871393,162.13375760501802,47,0,1,4,4,17,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,059ea3d13de011f91587f1d176599605274f8ee8,170.01528818861837,167.58640156985916,65,0,4,10,10,14,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,902588d66481d2a6efd19a12e75030f8f54747b1,187.15135627747338,167.30044485419486,55,0,0,12,15,19,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,40d1f72285bad826e5ae80b19c04f4f5b3deb7b9,178.44632030858975,166.69928066551142,61,6,6,7,10,17,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,7fa9f418afa2d6cd3cb4868ecefefd3686fb4571,210.65996269057314,173.19867205856966,33,0,0,0,0,0,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d41a54c96fd9e42c17ae07a6a20dc76e27b1eeaa,146.1657152125436,169.67398484441475,64,0,8,8,9,16,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,44d5072935495893994a91b40f7035308d0e351e,158.59048037010223,179.31214396741922,70,0,12,14,17,29,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b0b1a58ed86926fdd2a0c584a85834d1cc9d2e0c,213.98589783968058,164.19640816189505,25,0,0,0,0,0,5a0546857ecc773753327266,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,73c9a1a83e1e8e4b83f0955640bb865b880d8978,193.88808126515605,164.2677975167525,56,0,0,0,8,21,5a0546857ecc773753327266,B1
