ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,94b2d8dfb742d44651ce80ddb629a501e67047cc,203.28515495516214,91.74962988972715,13,13,13,13,13,13,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,8e840ff6e14ae38165acf0704882ec013d36fb5d,202.08052790901863,113.15658070845414,51,0,13,21,35,45,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,6be31ddcc5f8ec899b5d1f6d861d8cf0f4f97936,199.95572230674364,126.95819992660972,44,0,4,23,35,35,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d14db2e0aa0f74093475bb550b36921cf6ac4d17,199.86532508030783,127.40669998065232,51,0,0,4,4,13,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,43a3a0c7b91dfbd860ee7e0def592d095a91fd10,188.24127248927016,92.87986205230774,22,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2ae45cccbf6ef938c747332b63ca110bb29232be,230.44813237738217,75.45354176591361,83,0,0,0,0,8,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,64743731a7247ba359791c2fa6825a169d7ffc5c,234.07841902791074,78.91665725284557,86,0,0,0,0,8,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,f981562af5c3e59b4b6fe973e595a972150c4754,212.69817541555,75.80900478114765,28,0,0,0,8,9,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,6515461f4522d5007db7aa2683c51381f8530498,213.32927686418057,75.57380023998499,7,0,0,0,0,7,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,93cad99d6a66d608d83a0ae767054e55aef1e6c2,212.86925249573935,75.56384734578351,32,0,0,7,12,27,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b4fdcc0db7ef79074b91ada55198d2503a259a0d,221.94278838905672,77.0272820100525,46,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2dc09963089a1187c4b47b0e9a1a74efe3f5aba8,225.1192689370978,72.10094800520922,72,0,20,28,32,54,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,6d860d67bb071210bbb5b62ee3074fb044c70e39,223.34339530724972,76.82128247000063,50,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,0ef2e25cf38b3664f1c591e89fb29d257fa4ceea,239.13300478300349,79.56544714649003,73,0,18,25,40,63,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2ab7f2275ba82f3b0e7b27430c0a7c754252b462,331.5612970844796,166.7641386565664,68,0,0,0,0,11,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,188e82997e9641fe98e399354def9957208a978b,331.65627460658527,166.8706606111238,71,0,0,0,0,15,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,3385cbb8cf6cf1a8b3baca77609f01588a213fac,275.1661876133195,121.08091916171767,56,0,0,0,0,3,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ce2b33e8a6c843718f263b26f8e74fa37ab0175d,273.03934872588735,115.54172517440641,76,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,14cefc78d1994baa5ea57307658587d8a3d267a5,270.15152600465154,111.49223717814297,81,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e1cf5baa7eebcc26f5a8d7d51c53fbc6cd4946fe,273.48398873141355,115.86776291408756,72,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,a93afe994e1ab2e4dbf91086d4c71f3c721976da,320.2148604727605,159.06839834660903,72,0,0,0,0,2,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,103cae8daa01b12ccb3fb4b67c5765b397f28a65,271.3539917938114,114.82207336561106,67,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,41be85719c7f9427188d8b892042c23545b2f648,319.9651375019014,157.30757963400737,82,0,0,0,0,1,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e323dea66daea1102be9b3a62c34db37858992f8,260.3832648296884,102.59242608031454,43,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,44f083a31d53fcb0cbfde7c5357f66a4e18e2e28,266.2307118529313,113.28107995939702,20,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ab3485cbba5d808b010327a852afe6b787f28009,254.0663521112133,103.3220107163213,12,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,92bbbae31b41e7396510c5455a8704e04d0a15b2,254.83678956949325,109.75770456786736,7,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,6c3a32ef20cf2d00520c3662eef80f9ce586e060,254.83678956949325,109.75770456786736,7,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,f2a2a53a468bfe77dac508d5b2c63baed34ffc3c,255.4122925412018,111.63276744431195,30,0,0,0,0,0,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,17f2bedec84abfa766d4a0626d84aedbb5bac882,259.4508077526365,103.81528051492083,51,0,0,19,23,45,5c3c44b80379370013e0fd2b,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,3377be2a227a62f7095d09e20612d77cdd7bab7a,212.44167018959243,75.52827024703376,25,0,0,6,14,19,5c3c44b80379370013e0fd2b,B1
