ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,5a3dea3b6ece9f40d6a16a3d6b3d220ddf4f4067,11.018929646723848,46.56131412965775,32,13,21,26,28,30,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,889b14dba45ea9102c3fef823397901c007c4125,12.221239849046745,40.20830935242653,32,7,18,22,26,26,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,ae68bc14e25d0f9de018da53fb3a35c201202a04,19.83088301263907,31.65005298163863,28,12,16,20,25,28,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,c26f8b540fa3a19474e0b3a836a365098c5f44df,30.652680527911222,66.92098589132688,21,0,0,5,12,21,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,67209ebc8d4ed8fc4d9517580c17d9f4147fd9e9,13.967128340802404,19.605245778304486,28,0,5,12,17,25,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,d64eeb8d997e8d87203479556bbb9efaf7e487fd,14.3425964930595,17.89756656757292,9,0,0,0,0,0,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,d09c84c55708ba9dd0391d02fd5b0e5a9390a4db,19.269090356688984,32.643108525138146,9,0,0,0,0,0,5d27099f03f801723c32511d,B1
5cfff73a22a992bfb7103fa0d03db7a33340f0ba,0f4d915c63741c7bca075e78ffa60b9d96b9fef3,15.299617779492065,48.39243242648505,6,0,0,0,0,2,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,202786392fc5f9d4edafd010d6cd38cf93945e58,22.197337462665928,58.62240302921081,32,10,12,16,20,28,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,a95f5f9f0be77768da712a5cf6b57d2f3e4bdfef,15.854780579419845,51.62035759630346,32,8,11,13,16,18,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,8e3c926eb1f25f5dba774f72fdb973891e43f230,30.231187334249157,66.72039041019798,31,0,0,0,0,0,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,8ff6c4270ad6cbc1f94eb81af3c5100a3e0b977e,37.51733167973433,61.81052274987559,22,0,0,0,0,0,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,b47bbe4073d1826ee7b392c8884080e211ae2e23,19.826101820818007,31.89625697196136,32,0,0,0,0,0,5d27099f03f801723c32511d,B1
9613e7d5b62a26cc868fe21ef56fae23ecaad1c3,fb7dee83a894df39456b7d2364fb48804c523820,15.027431975230181,20.506314419168874,27,0,0,0,0,0,5d27099f03f801723c32511d,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,c918f148043cea51e9389aa5ead5e3e245507d69,23.28832840111702,59.446664181060825,20,9,12,12,16,18,5d27099f03f801723c32511d,B1
