ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
418e48df40ffda88558537c06126c52afec43e45,16c436dffeb208aca4b16ae919d6e70df44a0f42,32.702161646744536,25.847814883962165,38,4,4,11,25,38,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3e2ca49c4bbed359788552d830ecb82c35ff8dc7,32.73098154161227,25.964697276942875,25,0,0,4,25,25,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,6f3ca1a9554b45cc10a91f46048a2c28eb3ac684,32.831541868167946,38.964165109068475,5,0,0,1,2,5,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,849438e3cd4c81f4967fc33e3c867c90e4878ff3,36.13751365178309,52.64465200895893,37,0,10,12,30,37,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,27c4e75187b783610684afafb63fe85ce1dec26d,36.156850572856854,48.48513490399808,29,3,6,20,20,21,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,2e2e7691c9e1af88b3d242fac81e75f5876175fb,39.2786957538549,57.86232408426659,33,0,7,16,17,18,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,8382cab46215df63a1ff3cde1321cf14114daa2b,38.67399301046363,71.41612336781995,39,2,3,13,16,21,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,76eaf79026146da738a29c9e6cd8162c70ec5272,61.19308842157956,67.83143213030539,35,7,8,9,13,22,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,e7a7c40ff193c7e3e3247eb0f89d2d2bbc3c371e,60.92518768634191,67.79809618349627,35,0,0,0,7,20,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,e0eef4bd4ccf260432c7c7cbc13eb1b399b27003,30.680898894269404,82.81545077519428,17,4,4,11,13,17,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,58ea50c398749a30baa414f88232735dd1647783,42.89998624441378,39.46042434905319,33,0,1,17,25,27,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,1d36041cef876de246e7df4a0c9089800e8b8f9f,41.931122895419236,50.695028584164014,23,0,0,0,0,9,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,83fb02c6cb89dff8b0e0c7f023868427bd3a5fd2,34.685809273860414,50.79583798998587,22,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c94d8242f12c333c12ceab3410a0ea21b1b8ed84,64.96528384396032,37.664887349843,26,0,0,15,15,22,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,bfb611f446f85b43922766682b06787e0ddf5267,32.11730405790892,59.16739321886084,3,0,0,0,0,3,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,41eb96a48f4dab00e60600f21ba2c55a8cd02cf8,33.78960350311799,51.987596398305236,14,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,4cff570fa25560570eb01bd52c62d1f544ddf01c,42.466892616179074,54.188681488822105,16,0,0,0,0,10,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,9ea4f6786cbc8dc406056d695fd7cba4ad589461,42.9539266576004,53.00060466654051,41,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,fe1459659b14426b391b72a56237b25826cd5fe5,32.236123811365324,58.01039384284444,27,0,0,0,1,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3524755b25db8c8817809208e21e099ea19afe2d,76.57601711250626,36.059477951716765,42,0,0,12,14,18,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,449a2aa9eb71be5eebc5ad4070bcca4498106e7d,50.122762151923645,65.17674008192535,21,0,0,0,0,13,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,853dd972e102afe35b9b00d5bbf4f05f624c8e76,32.79307297402887,53.44694653952163,43,0,0,0,2,4,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,8fd40268a182a5f40428673ef6842232136d6093,36.833874484675256,48.460998976967645,25,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,0cf614460562e49da150fb01906d69fd68a9a24a,31.73516334352041,81.59222891655695,40,0,0,0,4,7,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,239bfecd650a2a10da3d0b2989c75074aa2346b1,33.80876916848412,48.1055305940811,27,0,0,0,0,1,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,383a745d5b57b054b965f13a1dccd118443c9a34,43.91875984208978,42.41636121427182,12,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a815f0225df7b548da7bff9c1335745ebfca7801,35.31169524881385,46.451271219937965,38,13,13,22,22,30,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,6da39631f92c1ce3c22b92adba4a6f56b52f819c,78.04416671338033,36.01380346195537,36,0,6,6,8,14,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,7e26482ae1f9c2bd5c78d7fb88e1053122e186e3,97.26948392806592,38.212844111700235,62,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,d22da1f626ea74c50db3a2acad2ed8ff9b029c53,35.87088737349699,52.93275268274054,7,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,331ee281b7e03d1267c8570d33f6783a947d007a,47.42758626059541,42.22833386196085,13,0,0,0,0,7,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c88f89a285ecff8ed53a72c579e0a7ae7fad19c5,115.30488027627678,40.33080732245168,24,6,6,6,11,20,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,134b4b2f6933fbad8afe897f9cdbc7afff737165,68.41817869770843,69.16439847625983,26,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,9ca48443508c5de2f48924b5ade500ea07d860bb,50.446996917376204,39.099362665820905,21,4,6,13,21,21,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,d1b80fd7013704c6897b20507d367ff4fab8de3c,77.00129299406667,36.42348869588294,50,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,000a456a7fe625268059173fe1456d3ce46e169f,76.66364388921481,35.81513598000525,21,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,abd723fe3ee411df619e798cdb9ac5097595b0c8,41.8417271299228,51.14062848005217,21,0,0,0,8,15,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,03b4d1e97dde85125e928a6c1541fd3574841a22,78.07606380248859,36.01587036973204,55,0,6,16,23,24,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,27eee73f433c03e47bd5296278f196d17be22e0f,41.97333552883405,50.578318468981806,9,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,4af42d80b829808f2cdddfcf96c71e27b5f70e12,30.6808875176279,82.81543810459506,36,4,5,11,11,13,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,fda80ac30c457cb490d228d3fc8ac976be9ed23b,57.13821253550892,66.50264362820933,24,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,32bc2ca275b4d41f54c8ebead7c44b0741ee66f1,56.6077903139924,68.77815506621657,22,0,0,0,9,18,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,97e5345421ba82c5a09711979ba15f89e6643328,32.01381927667871,60.32321672691749,7,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,01a3c9b1e07dbf3540d61ed16d4ee160cbdeb386,76.66389270093545,35.81509964061173,49,8,8,8,8,25,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,9be470e2032a88918474fd3c3701d0cd8a6a4fe8,32.11730405790892,59.16739321886084,3,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a2ec2de74f670219a4f3dee1dcb5bdbc6a5e4e9e,32.11730405790892,59.16739321886084,3,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c2593454f5e6283298fcf5a8d0136f8fe9395721,71.13465502267276,68.07857248092333,6,0,0,0,6,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,9acc93bc517d9e2321ef75bdb7d0064449c2b4cb,127.04584645561087,47.53139349608632,49,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,d4073f99f6369a428680f31ee735077869eec5c2,34.66077800146319,77.13308125757315,13,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,390fa4d27b187e2b4aa81f993ec413d63116ebf0,70.49681561819806,69.94862379918712,38,0,0,4,5,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,09c1e4e5caa159963b358c1efd74ad7f2c94ab4b,70.50038802719513,69.95808357321276,22,4,4,5,6,13,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,bc5d62020529c81f308dd2d796f98044457ecf0b,99.27148695883248,61.18946234305477,53,0,0,0,16,23,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3fb95a984300a8eab2a78ea8c81ec4de7d2401b3,94.1983646699084,63.60053784677102,53,0,9,18,24,29,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,f1ee6027a4baa5d9ca7ce6d1d1e82f15ed7fa4c3,92.45430504609394,63.94508197846239,13,4,8,13,13,13,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,30ab0a68c2906053fad00aa9453949e6f51f5c5d,93.31584358454174,63.7059619729037,24,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,961e0079eb4e748fd0c2b4a14fd14cb081749cf4,118.56582228601638,72.17056901706492,9,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a58ddda4ed55ec5e19b773253db5cffcfe4cd553,56.63461428136758,68.85657660327234,9,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,6f180cba9d503ec600664950bcb41529fa1720b5,53.6114937156806,38.47770441099232,26,0,0,0,0,4,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,05ad1af8131b0045ecb49c2fc1dd294f5f1c6a5c,37.4773077228265,48.43736162701996,14,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,0c384ffcbb273e804214aab4b00040553eb256b8,63.613885689795424,38.71356225500149,14,0,0,0,8,8,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3c2d09000faf51ad9585c7e88bd7e0b78a2df68f,97.36016789239478,38.22403435401318,40,11,11,14,31,31,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a84298bd09710cad748f1b82bb103e76aa812d91,50.95688489981765,40.45270262491959,7,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,8b2939cccccc282ec8c192fe8660e92dfe49df26,50.95688489981765,40.45270262491959,7,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,dae023e3703e824c6322d9bd5ad4a91847b86f71,76.66389270077566,35.815099640664585,8,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a8e02233ea05f238cc65e625baf9252b3cf3660c,97.46255671990384,38.29941438540826,27,0,0,0,0,11,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,fcabf6452a44b9d7b2291f7c08880a67c8fd2b65,32.70216188486891,25.847799972724935,4,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,b5afa9bb8b1ac09c0ca38f6022fde5795d9ef6da,92.4523884797631,63.945511612391265,34,4,12,17,29,34,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,7217bc2222af43bff3ef0329e5945adf6021c80b,101.14560626914675,42.75359607501228,59,0,0,13,14,25,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c4263c5bec89cdf228b0227ea805a2f03226c889,127.09697666659511,47.50570021949234,33,6,7,8,19,25,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,42416a38bbc7c6cc8ce2ce379511cb96e73d353f,126.93685169496366,47.48727018112206,30,0,0,5,21,21,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,86a3f3cfeb6acb6c1d4adf157119409822411f2d,64.79567137238014,38.18486662440243,8,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,996b60ae227214b81d13ddc978666becb419fde0,64.79567137238014,38.18486662440243,8,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,dba7e03cb74511af17f04f24aa4d37bc02f03310,76.91927743732401,35.95607109821356,13,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a5bd2e7fd20986bff54bc6d04a5091859531cc4c,125.21871860541393,48.54026468734397,15,0,0,0,6,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,a069e37490b87f937d2d918bddd5e7948b9dd2f2,115.06236621538028,59.6952284556349,32,0,0,0,5,14,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,ca2685ef3cd229fdcbdb473d80751b3789de158f,125.00466948248098,48.58826499400057,16,0,0,0,0,7,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c647ed40c0f0f26e04ff19ac1aec19a1df99a5ce,94.62415617700601,63.560906805167896,26,0,0,0,0,9,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,aca315d65fa53390bf97dacd9bea7d8fa82d3770,115.30487476133794,40.33057306311426,6,0,0,6,6,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,c78db29f17e687927e07d86c7ca14f2eeb7a5e95,124.43126429499875,47.528306415600156,61,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,4443ea1061e0e4d0563c0449e0eed6e57a6b132b,113.03820528588636,70.32007355900265,36,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,ddbc55e4c2c3f9037fbca8a7ea4ddd5c841646c2,111.80345198260144,54.03125111951446,25,0,0,0,1,7,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3e3decb72939cd1b8d5537318fdff90781fdd478,96.05882938244032,62.918163673933115,20,0,9,12,20,20,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,f382fa1ad0e4df4440d939f090628873e0cb4a5a,121.01577149970032,47.316220864716335,17,0,0,0,0,0,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,3b9ec6b3329c244ce194316b42229e1d05a6fa95,125.20388317274742,48.54779881609248,15,0,0,0,0,6,5d2709a003f801723c3251bf,1F
d4525987755e6014b0461bdb47090e86aa94ba62,edb5dd89a7d3f44a907409c7567a5cb4cbdcefdb,107.3523332998318,68.1750303792685,18,0,0,0,0,18,5d2709a003f801723c3251bf,1F
