ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,57ba35e20c233b98e75f5f796ca62dc9fca5c52b,51.973150963553444,37.061200619914224,80,20,31,49,75,79,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e378945893552ebbf8517b0501848f0f828762e6,41.29900217410671,30.71137596670847,83,11,12,29,52,78,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,7dbe84c20d9fe0ec4916688dd8ff9044766380b8,31.93906036777246,33.133227933980145,46,0,28,30,30,30,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,cba3792f7fbc6c2fb1b7967f25bc5f17a3f5334c,2.5536544593508292,51.72301613199566,30,10,10,29,30,30,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,3d6a628bacedb4546442abe6821584e283bb0b76,23.100133861321297,24.201343941593635,96,0,1,23,48,69,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,6e119e687afa261f7f4e5247c98758fe6b475ff5,19.02671049888541,20.27979731450463,95,0,2,13,26,48,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,dddfef0fc989522b16c590fe9a98e2138a2ee020,25.959157947446773,24.36325030589712,87,20,36,51,79,87,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,0afc10b100a890b12b13df21cfdef968ea5dd1ee,51.01270123474896,36.7076797935516,67,9,27,47,63,66,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,a48c8e6fc3102c7e32276886a1028f27f1bd2eb5,42.79677959223589,34.36035819468535,98,2,18,26,49,66,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,86d30417eb88301c382dfd5e3bd104317b5748b1,29.3960361030443,24.54345838131719,98,0,4,8,19,47,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,622f3e104ef1057e2152a3a4adf3b7038e979169,42.69778041760935,33.34934883402925,95,0,1,10,31,58,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,6fdf9772d4732299f3dfe8633547f6443e48b98f,39.4464450343855,33.040817372085705,95,0,8,28,41,72,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e990bbfd1e539063d87e8308c306c05ef0a6947a,51.90209898544643,39.92980249037704,69,5,31,42,43,62,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,ae14ae14ed55e1ce6cd10ea97d1da64d09a66825,3.120955955483159,51.18957840977255,36,3,10,13,30,30,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e6a04788a369cfe20e60c94b7d32fb338a5f87a8,2.5694585234951752,51.692958425204544,79,0,3,5,8,12,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e9bbdd3df22b71c041a4266c489bbd1e1902091d,48.34755749940815,38.972251080322565,64,6,24,27,53,64,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,b84637233695089a5f3958427f43436af28fc753,16.93755936233331,19.007552249824492,95,10,13,22,29,38,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,3bd2cb8c996812864852bc7798c2c165551660c3,20.73140189484324,15.549452408395306,97,10,12,21,26,53,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,11def9d3bcc486790b45fe416222c040cf01bc36,36.97832750855579,49.25574444995674,79,11,27,53,60,67,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e70a531c04adc08a88721927bf2c0770015f7b29,15.867035503788909,20.663096004728803,61,7,27,38,49,54,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,b2281c0fd33641bc71f76942e16b79d8c1306926,44.389315852226915,35.008500872165946,77,14,20,62,63,66,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e222ec8b19e6beeb49fde8b0fb70667c3ce47e4d,3.1624782150155184,51.224423478736405,77,0,3,3,5,9,5d2709c303f801723c3299ee,1F
da39a3ee5e6b4b0d3255bfef95601890afd80709,e226e4f6a5c575ed427978ecdc67255220877ccb,3.1570937625127415,51.22022563407649,83,0,3,5,8,11,5d2709c303f801723c3299ee,1F
