ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
4291d00492758079d3444ae382de1200de6b231b,3c66502f1b485937a8ba4953db320b3e1a888090,35.05105858568464,98.25533090864512,36,0,7,7,7,7,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f166bfd6af62dce2355341fab368c10bf26c942e,40.91257755917069,64.32922139795694,61,0,0,0,4,19,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f65d6fb74e41feac7a437bc804a9e7d468e75b1d,52.73524393954219,77.04252414129847,13,6,6,12,13,13,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f06561193e445e06bd9394c139175f543f584d07,35.789351240736636,97.50909070792889,7,0,0,4,7,7,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,36f8ea04377da36d241586529a8192c5d91839fe,35.33429830295897,98.04615832638713,12,0,0,4,7,7,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,e25fdd9772652028982790f494873a8fdc451fa5,33.64705878833743,100.41692449728028,7,0,0,0,0,0,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f489b133b0994a2b61f43a23b03c54e51a689ac1,58.68594457776226,68.49930230526903,60,0,0,0,0,13,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,14d93d45757ce00afade8be40f251050820f6586,62.574146940608024,67.43499136499432,55,0,0,9,18,22,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,57ca4c27a6ff76a7fae8e63cf7eb129ce591e7b5,47.86945911685266,67.50975081874287,68,0,0,6,13,25,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,9a239d265c5649fcf956ae60b0078d7895f2bc7c,40.38753233730089,66.78878654982019,61,9,13,16,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,84b11a2bea9c5f703dcecfb45dff5f0d93b0312d,40.41804962049175,66.40670442945246,31,0,3,5,13,13,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,5e3642c0ee9667779bc3408c7031fdd9986fb17d,40.378687042778566,66.63647962468829,65,5,9,10,16,17,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,36e71a8cd8a9525670126beef2842333548870cc,40.34968823982063,66.91123816574469,27,1,4,8,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,c3abbf14f78a7280d43264e1ef407850e1a9d0d5,44.37499063779973,71.8096849775539,38,9,16,16,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f72e811ca5f0032606b44db42d568cd8e2fd8ab5,37.63984395484588,63.18376764442863,13,0,5,10,10,13,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,ec2479e35fc1b28efaee61f5c8ca2d23a07161cd,39.11268674312391,56.66692124645449,29,12,16,16,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,b2b6249a582bc984db3473aac9d6bf739bd41be9,77.80059448514527,69.24841712320249,53,5,6,8,10,14,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,136f2fe6f682a6956a48dc17bad3e8d5aa6bb943,28.25177981885204,52.15686020062276,18,0,4,7,12,13,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,003c4d7407039a80c7d1c27af5615cdbffc19039,47.291812645487774,75.30039558751805,16,1,5,10,15,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,aeff1e6a8bbad67c8b7619cb315f623197dab40f,49.01820892864516,76.91470747011887,29,12,16,16,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,cc50bf060b8db11946cd37cabc59038d98b52521,74.78564322027808,73.92233783651886,51,0,0,0,8,11,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,5759c15b51df9f770cc2d5132bb4958006ea29b3,75.73947510410049,80.34385957567828,59,0,0,7,17,29,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,0b0b8fd432c70e6e82f4d2ff8e3a3d67b6d8b9d0,89.84303503682399,46.455693611459424,35,0,6,16,28,28,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,c17f25e622368508c65fb03eb3bbfa34125e375b,76.93603842559844,70.65451833040072,56,0,0,0,8,12,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,e04776dd99ba06e58fd9e75485e7f5bdf9fe942c,77.60063290855373,69.5294172691876,53,5,10,10,12,17,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,2a8dc608d8243b5696d29cf931121d1aad4eb0d1,76.16308639232118,71.13104531345252,53,0,5,17,21,26,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,f20b470f7b079b8fa61d813cfd435af7e732193f,76.40371364334972,71.31282759115437,8,0,0,0,0,0,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,943674fb211fb22c91ff9825d53d847e467aec11,42.65625990917306,84.44963316735179,26,13,16,16,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,354d3ccd31b3427ee1414a3365f900666a0e11bc,77.81396326039156,69.23523005918918,30,0,0,0,0,5,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,079c8efe6f440818de14103c5bb196d7217602e8,76.3336765736208,82.71442231495921,56,4,10,13,19,19,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,1ac673c2c3e68691e3b3fe2f01f7978a4fb527e0,42.65026977070128,68.34562378767502,16,1,9,15,16,16,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,3a6228a74967f773668a1cfed31d8ddd30abe71f,79.03901008968177,55.62545554233035,42,0,2,7,16,19,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,956edea187e7858716ce2268a4f7bfa99e39dcb5,76.41770449765363,80.46958375520498,47,0,4,7,13,18,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,216a0ddb970275b1afb4327934a6d5b4db8f1268,74.01772012633757,105.60610834115909,27,2,6,11,14,21,5da138364db8ce0c98bc00f1,F1
4291d00492758079d3444ae382de1200de6b231b,aa72da4ab255788f2d2ca3a7413f97394b43918a,69.62426539396797,80.70692906190644,27,0,0,0,0,1,5da138364db8ce0c98bc00f1,F1
