ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
377c4c4a4c791171ef164c1970699829183f2934,e16f8b094a6eec4a1c4c7a139ecaafd8010b8c11,155.46185934634866,133.9806174152646,127,0,4,7,13,17,5da1383b4db8ce0c98bc11ab,F1
377c4c4a4c791171ef164c1970699829183f2934,814ba3922612c748e2de34d4566d427327ec69e7,152.3608771633476,150.71325337880214,55,0,0,6,21,39,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,0b178fbba835abdc2f35ba50aaed313580a28125,155.76903592225506,131.63585707083186,124,1,4,7,16,25,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4fbece6daf9abf10796dbdc1a728fd66c57f4414,155.69382131211736,132.27222134864326,117,0,4,7,17,22,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,9f5d60d829c0b023873e89a8b49e82299c6f2f51,155.5191364098837,131.9271257160048,62,0,0,1,6,16,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,eaae4c7c50f90776da22360f7e337bcd4f4d90df,140.77724336960316,152.9876705434278,42,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d9ca592078b10d6ca25ae0423cff5551d4c8622e,121.4337816379976,174.03805774571507,114,0,0,2,10,18,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,620635242e714ecc157d36034af2b34b5314f407,116.10371659996581,172.9068149403492,114,0,0,1,8,18,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,1ae779a27a3cf4a48e86f2af8b77182b493ac1b5,123.8444035756868,168.62716551084497,114,0,0,0,6,21,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,45f9905c07a340faa69cfcc4d2844354b68456c6,153.59531349890528,138.56603034565995,27,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,f0b91f64600cc0438734a0003658d87e95312ce3,151.08280151972963,143.90015547493547,17,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d5988c125076dd4001d9b7ea5814eee30cf3362f,153.45618031292705,138.4305764181487,21,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ab9cef2f07d937883d77bce7cd9ff3db673b6412,120.3071054745791,125.0958450102948,26,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,b9bb46bd889d91a46d1d55fc3c0f9227fed7a288,151.14904996930548,153.89869122347267,20,0,0,0,0,2,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,af88db86c0c88ec11049459b56ee5e297a6449a0,150.88503737101001,154.01134133557798,31,0,0,0,0,0,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,ca0bc5134f6c1a32561716be57436adb85d34a34,123.16533703573046,168.22314869187667,117,0,0,0,7,22,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,21df8997c651659a858970adde1ca2bbd9f26f60,117.33888526277967,171.29497943826792,108,0,0,3,8,20,5da1383b4db8ce0c98bc11ab,F1
da39a3ee5e6b4b0d3255bfef95601890afd80709,93c4cf1df9c610683eb5ddc044112cab738b509e,117.07349355160669,204.7181236702966,72,0,0,0,4,14,5da1383b4db8ce0c98bc11ab,F1
