ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
fc723e647acd03ca7c0281c568ab577bd98b6bc8,070e2d3b2611e39e57a5ece19471f9460505b791,225.61924755607126,40.69316056301969,59,0,5,20,30,43,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,fab41fa918a13f132370ac5e0a81605df7751b7b,228.72499174571328,45.78114588289179,24,0,3,17,24,24,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,ff6ce89069295f6aa1de087c9fd31b31ce8dfe17,229.8891050249282,45.650567591363405,28,0,0,0,0,12,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,3a07511c50851cb541a6e192750746ccd6973cf7,231.27382704260333,41.802084931865835,14,0,0,0,4,4,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,63b46c3f188bd63dac24e81e36678dabfe03ad7b,225.60498696632135,38.29953614637133,51,0,0,0,0,0,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,bcc1bb6485a3c735a279c394c2c4131b7c1fa46c,193.64014662165945,25.103382786901925,16,0,0,0,0,0,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,f4c95702c22189057b0f21ec7981c752c62c0adf,147.40193345061203,31.468581659971345,28,0,0,0,0,0,5da138754db8ce0c98bca82f,F1
2241a80de9ceb4636760335eed9f913a0717f251,b8c0d7f93c89aa22d240944f298242f046925e0b,250.38307307392023,94.02628602350323,4,0,0,0,0,0,5da138754db8ce0c98bca82f,F1
8ec8c55e6a356cb513a5f63931233f80faee329a,d52d2e5364600adfd330cf653d7e105cd6a4a266,225.5107547150273,50.2427209624749,48,1,17,23,37,37,5da138754db8ce0c98bca82f,F1
8ec8c55e6a356cb513a5f63931233f80faee329a,d4c13acb1c11fee19504ac5a9a137ab7e2853a9d,225.89822363288403,46.163897903338345,63,0,0,6,21,27,5da138754db8ce0c98bca82f,F1
67689abbfe9c5cd693f62f728b5edb59046623c3,0210a81ad920f166f41230a213874a58e0dea9c8,225.55827004629202,36.73505922687341,40,5,6,14,23,27,5da138754db8ce0c98bca82f,F1
67689abbfe9c5cd693f62f728b5edb59046623c3,b4da6b9e1a789d7ec64f68b73e0a9e77f0780303,234.87083645932756,65.39112654509734,54,1,5,10,16,28,5da138754db8ce0c98bca82f,F1
