ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
f9bd175a744f1cdb3f794f529662d045647587a2,4915a17dc93048b996718727006eacc78bdde191,66.20472658809537,83.359665609804,120,0,0,22,25,36,5da1389e4db8ce0c98bd0547,B1
bace22da09750b4c18975a18b153fb95845ae1ca,515036300d3539bfb9d92100512e0696c71f143e,66.9710089316851,82.64938331871518,129,0,0,17,30,44,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,233d360b692558495c68b8a2395283a195262c39,67.64894077001262,87.2200414200822,46,0,9,25,25,27,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,912da07b638cdb2e4dc727f11f3996f4e8267ccb,60.96802092219105,86.75194314949046,126,3,6,18,18,19,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,5cb3ecc2545732a9d3371d055f2b8548eb06bc13,62.44007476093712,48.13904882986135,161,0,0,0,4,4,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,3ebc755602e11ed1541104c1bb011ea056bb115c,34.54863559113795,38.760609969848055,151,16,21,24,33,36,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,2e1964a97aafd6b34c5899b9006b5d312444fc2e,25.497750072893798,78.95093066213964,121,1,3,11,26,44,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,411c7538b8089c81663e559bc980270c3c5ce6c3,62.43474324655407,48.13613574898546,128,0,0,0,4,4,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,2c0de2d831941a1ed5ed2873805e9f20bcc6776f,62.40361327458814,48.13420262693635,131,0,0,0,0,4,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,cb48c3f1dcaea7b746528027e344677d3b095b9c,62.390250205687025,48.005071224077135,147,0,0,0,0,4,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,fa337094124c9928fab9161e0bbca7abac061a36,31.5929905138832,78.10895278653787,99,0,0,0,33,51,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,cc1f50d57d508133c72907c9a98ad11edf96005b,71.48460692269548,55.76054183274542,106,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,c83a81634993ed9d129ca0176cdd01ccc9a8788d,62.4361346935003,48.136733160119164,133,0,0,0,0,4,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,913c1c569579e5bcfbe2db3df3dea2b15f068075,70.34232003024076,70.40766616505067,128,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,4a86a7324967badc2428f44f7a39a0f98c9ba879,73.48901740002933,57.50423457202834,92,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,e2b4808a7d94ab4f5d9c623335bf71859a8cc0d2,68.93571543995567,75.55022769048247,88,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,d968e467691a3280b15b4a605962a60318b28fd5,56.91076171033032,38.059376963287754,126,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,3b474af2b4f5e02988ea16221ad11c0a28251149,46.158154458280976,88.88127732798114,99,0,0,0,0,10,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,1680fe708eba7a473e4747d4b4a7cbe22e9dc746,69.06253871700396,56.66553106579881,120,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,be2bc38e7abb6c03777fdea48b7a3b8ef5941c96,42.071581743311334,36.43745842138894,14,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,cf149517add93df043fa306a2144caf41a3f209e,69.84104845738332,80.78536685489111,21,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,4f4bea985e23fd9e142fc1d34f1269d94d4b0741,74.07613346643491,56.78070914470026,11,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,70a7b77e614aaba764972608bac0a5f8ce4dc142,61.928024999018774,48.18149943823387,127,0,0,0,4,12,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,67336f8bdbe42095fc9ee6c2229699f50a5460fe,56.54110159278414,37.75116226253332,68,0,0,0,0,12,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,eef9b76bb844319fe69658cee406ee66aa2ec2f5,53.63191115562201,41.27622504411825,38,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,0854fef1543f4af2af900e8419c4964d42da471e,27.892332909724406,44.96206531077148,72,0,0,0,0,0,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,e1ac7be3ecc1357b13e093d351c33baa9ceca6d1,62.43653070082557,48.13709418994917,85,0,0,4,4,17,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,9f2efe1188904ddb1bff8e1ab178097cce111966,26.699107934111854,67.0566095013205,88,14,23,23,24,27,5da1389e4db8ce0c98bd0547,B1
25055861b712f167ba58320e846a4aa70f811204,6481d877c7c3dd24354706980d009f2781af31aa,43.91142614471143,38.12298530011184,60,0,0,0,0,3,5da1389e4db8ce0c98bd0547,B1
