ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
da39a3ee5e6b4b0d3255bfef95601890afd80709,58762e504ad207273d383a2dd9809f14e2c0f61f,146.66971671665127,23.440425356066285,90,0,0,4,7,32,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,294fdc2372141665fa63dff60899e855895b1e59,146.65586195052822,23.509018288002803,79,0,0,4,5,34,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,dc21335b766c2b1e0320410f795b0ab28a7889ab,146.74055610201972,23.28588748184429,68,0,0,4,8,26,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,5cb6a66ce4b0574587ae92011159578075ba5c35,146.65587678304647,23.400056640226584,50,0,0,3,5,17,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,2b1a7028490ce0401374c1f9dc5b1d63210929a2,146.6821410169355,23.37376162507499,121,3,4,8,26,51,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,4d4941e9eb5ae0da45e9e23f20bd881c893202c2,146.68178180020794,23.37574559618305,114,3,4,8,25,51,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,1b2ef7d343c34b244ec4ec6f84ae7823ee0827c1,147.38872832943505,24.242900319586067,38,0,0,0,7,8,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,91d768163419c5be89627a29cbffedfedebe2fd8,127.06385356877199,62.995302399185164,109,0,2,10,25,39,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,5d75df6e4990bf761b1ed6e9337b83fec55efa25,127.06551660656608,62.991521366402175,78,0,2,11,25,40,5da138b74db8ce0c98bd4774,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,5191db1290f45d503ef89554ce64f9d13fa52d70,147.40059326542354,24.25863650056805,32,0,0,0,7,7,5da138b74db8ce0c98bd4774,B1
