ssid,bssid,bssid_x,bssid_y,n_samples,n_samples_rssi_over_m50,n_samples_rssi_over_m55,n_samples_rssi_over_m60,n_samples_rssi_over_m65,n_samples_rssi_over_m70,site,floor
87f74965f744538cb1d43bdfd5dc08559dc6c395,9c99adfd93c4b6faedd62d2b3819317129590f9a,155.53272656102973,304.29638144124965,151,13,26,59,89,104,5dbc1d84c1eb61796cf7c010,B1
6d7bfa3bcf454ba2cb988203a497627aa36cfbe5,540595dc3ec5dc438b82dbc122f5460a8abda919,155.1232355163753,304.78098330390463,190,4,7,7,21,64,5dbc1d84c1eb61796cf7c010,B1
9258dc8c9beea4d2d992a0415bed318ea47d1aec,58b6c8c5c436f34adffb42c98973e1923345d4aa,155.14080333386812,304.7025557373997,75,0,5,8,38,60,5dbc1d84c1eb61796cf7c010,B1
608e64cd54c5e040c40c692818aa47a89fd45433,3cb279f1c20272d87c0fb30fef8477846246b512,154.01459859750457,318.0089045906301,113,9,21,36,57,108,5dbc1d84c1eb61796cf7c010,B1
608e64cd54c5e040c40c692818aa47a89fd45433,acfc938d44c84f569ff23bd25688a0c6cccb2fc4,156.31521694337613,320.5570820580923,170,0,0,17,27,41,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,3ba712f82a67d548b59582e47286ff04ce314e5d,170.00495532055456,343.8464774604773,102,2,16,22,22,30,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,8a46a7d9c8ecc6c203892f92f2d6c948d030a3ad,155.12275756547132,304.779935047427,126,3,4,7,8,37,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d30608fc5fa9cc57028d34948e8e71e42d2c74ea,155.1222482310705,304.7807671347848,125,3,4,8,8,37,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,127630204f4d8b9778ca7f97e3ecc14c7578943c,166.26231171260943,337.8755925139233,62,0,0,0,0,37,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,7d58dddbb3503c1eb9e4b7a816a97150cc7a13dd,169.84133265353657,341.9646365344679,89,2,16,22,22,30,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,849e5cde0311df92772098097f47fff469ac3ae5,167.47454029149426,339.47438649372094,56,0,0,0,6,21,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,3ffb529e51438b6466eb570fec86eef2f62019f7,164.16837817074966,334.51324445071,20,0,0,0,12,20,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,af75db79d4db5b35e8e9b9e12a7a3b7796284a53,165.33860184592376,339.5159700578071,55,0,0,2,18,22,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,9e6fdb1810be9e001e52f943f4c9390d73d33c6a,167.90830240542402,335.0827794176524,34,0,0,0,16,20,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,203eb1414e141d2dfd484588d3c56f3eb022769c,167.98558258719805,335.0495180753251,55,0,0,16,16,20,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,fa13783e4c653344f995c75dc0d69b5a2cebe0df,167.9873546273529,335.0487468684963,28,0,0,16,16,20,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,7d3c7dc012415d3bc2bd8ae9f73c777191781eb2,141.05428893759316,310.90156762937335,27,0,0,0,7,19,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,653f690489fc848974a97dc7280c59ab8ae708a7,165.45551475296517,277.77834654744424,167,3,5,6,12,23,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,c7716115ee07f102f04869414ed1bc278f2f6957,165.45555870087273,277.77744607119604,152,3,4,6,15,25,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,d1e2cfb12eb41df2ec81e6e2f53bad6fdc5ed4c3,169.9371087235682,336.5081862431841,42,0,0,8,14,22,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,961771c4237686d4b2b3e4fa6acbd001074283b8,168.51368397970197,336.33831233275544,40,0,0,14,14,20,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,e899536e6d532aa13bc857b0e7a923135a55b393,155.12816887970098,304.7724002907025,150,0,3,4,8,26,5dbc1d84c1eb61796cf7c010,B1
da39a3ee5e6b4b0d3255bfef95601890afd80709,f8fe6d4ff6d735b1bc1fa5a4112f501e96156ec0,155.1317139741625,304.76810992825637,135,0,3,4,8,26,5dbc1d84c1eb61796cf7c010,B1
